age,monthly_income,employment_type,credit_score,existing_credit_cards,avg_monthly_spend,repayment_ratio,missed_payments_last_6m,loan_accounts,location_tier,spend_to_income_ratio,missed_payment_flag,credit_category,income_category,age_bucket,recommended_credit_limit
43,56483,Salaried,709,2,38143,0.98,0,1,Tier 2,0.675300533,0,Good,Medium,Adult,83835
38,59722,Self-Employed,739,0,39743,1,1,4,Tier 3,0.665466662,0,Good,Medium,Adult,85104
23,61182,Salaried,789,0,14725,0.73,4,0,Tier 2,0.240675362,1,Excellent,Medium,Young,101857
21,114348,Self-Employed,649,3,37090,0.65,0,2,Tier 3,0.324360723,1,Fair,High,Young,141391
35,79682,Self-Employed,653,1,45659,0.77,1,1,Tier 3,0.573015236,1,Fair,Medium,Adult,100089
26,15000,Self-Employed,767,0,3326,0.94,0,0,Tier 1,0.221733333,0,Excellent,Low,Young,36310
36,57042,Self-Employed,868,3,29307,1,0,3,Tier 1,0.513779321,0,Excellent,Medium,Adult,142604
30,30255,Salaried,680,2,15836,0.62,0,1,Tier 2,0.523417617,1,Good,Low,Adult,36767
42,80253,Self-Employed,870,3,28471,1,0,5,Tier 1,0.354765554,0,Excellent,High,Adult,200631
31,52841,Salaried,802,2,14923,1,0,3,Tier 1,0.282413278,0,Excellent,Medium,Adult,132102
30,78269,Self-Employed,742,1,33996,0.67,0,8,Tier 3,0.434348209,1,Excellent,Medium,Adult,97738
32,36869,Salaried,657,1,12438,0.76,1,1,Tier 3,0.337356587,1,Fair,Low,Adult,45994
44,81023,Salaried,729,2,37277,0.83,2,0,Tier 3,0.460079237,1,Good,High,Adult,98868
35,77936,Salaried,688,1,40502,0.78,2,0,Tier 1,0.519682817,1,Good,Medium,Adult,92631
23,76004,Self-Employed,546,3,44981,0.77,2,2,Tier 1,0.591824115,1,Poor,Medium,Young,89467
24,52561,Salaried,681,2,19642,0.79,0,2,Tier 3,0.373699131,1,Good,Medium,Young,70729
32,80998,Self-Employed,644,1,23566,0.79,1,0,Tier 2,0.290945455,1,Fair,High,Adult,102682
34,88483,Self-Employed,677,1,32964,0.73,1,2,Tier 3,0.372546139,1,Good,High,Adult,108080
36,66942,Self-Employed,723,0,40145,0.73,2,2,Tier 3,0.599698246,1,Good,Medium,Adult,76984
28,70713,Self-Employed,745,2,46813,0.9,0,1,Tier 2,0.662014057,0,Excellent,Medium,Young,101012
43,67028,Salaried,640,0,43408,1,0,2,Tier 2,0.647609954,0,Fair,Medium,Adult,100542
36,34578,Salaried,766,0,16666,0.7,0,1,Tier 2,0.481982764,1,Excellent,Low,Adult,73265
39,43781,Self-Employed,719,0,20514,0.95,0,0,Tier 3,0.468559421,0,Good,Medium,Adult,64068
21,64229,Salaried,696,0,32357,0.77,0,1,Tier 1,0.503775553,1,Good,Medium,Young,85370
28,40838,Salaried,669,2,11448,0.68,0,1,Tier 3,0.280327146,1,Fair,Medium,Young,51581
38,65950,Salaried,731,1,13365,0.81,3,2,Tier 1,0.202653525,1,Good,Medium,Adult,74754
32,47102,Self-Employed,575,3,21375,0.59,1,1,Tier 2,0.453802386,1,Poor,Medium,Adult,52743
21,96458,Self-Employed,585,3,37099,0.86,0,0,Tier 3,0.384612992,1,Fair,High,Young,134320
46,51941,Self-Employed,780,0,28087,0.92,0,1,Tier 3,0.540748157,0,Excellent,Medium,Adult,124635
25,59030,Salaried,771,2,23864,0.81,2,5,Tier 3,0.404269016,1,Excellent,Medium,Young,118490
42,55795,Salaried,886,1,21170,0.96,1,1,Tier 1,0.37942468,0,Excellent,Medium,Adult,129544
22,15000,Salaried,840,1,7331,0.81,1,1,Tier 2,0.488733333,1,Excellent,Low,Young,32105
31,53304,Salaried,765,0,19587,0.88,0,3,Tier 3,0.367458352,1,Excellent,Medium,Adult,125520
27,99102,Self-Employed,777,0,26913,0.93,0,1,Tier 2,0.271568687,0,Excellent,High,Young,238985
30,44603,Salaried,641,0,26701,0.67,2,2,Tier 2,0.598636863,1,Fair,Medium,Adult,49156
22,26444,Salaried,665,0,10890,0.82,1,0,Tier 2,0.411813644,1,Fair,Low,Young,34118
38,73282,Self-Employed,778,0,40182,0.89,0,2,Tier 2,0.548320188,1,Excellent,Medium,Adult,172773
42,51177,Self-Employed,680,2,15003,0.71,0,1,Tier 1,0.293159036,1,Good,Medium,Adult,65566
21,65260,Self-Employed,685,2,39249,0.85,1,2,Tier 1,0.601425069,1,Good,Medium,Young,85474
42,84151,Self-Employed,597,0,23794,0.59,0,0,Tier 3,0.282753621,1,Fair,High,Adult,100444
36,44622,Salaried,631,2,10829,0.7,1,1,Tier 3,0.242682981,1,Fair,Medium,Adult,53586
31,56559,Self-Employed,550,0,28986,0.72,1,2,Tier 2,0.512491381,1,Poor,Medium,Adult,68707
32,107383,Self-Employed,554,3,29812,0.64,1,1,Tier 3,0.277623087,1,Poor,High,Adult,124392
23,74444,Salaried,546,2,24339,0.61,1,3,Tier 1,0.326943743,1,Poor,Medium,Young,84264
44,66277,Salaried,644,2,41612,0.68,1,2,Tier 2,0.627849782,1,Fair,Medium,Adult,78511
41,63777,Salaried,757,2,16671,0.87,0,2,Tier 3,0.261395174,1,Excellent,Medium,Adult,149408
49,76315,Salaried,579,3,25492,0.52,1,2,Tier 2,0.334036559,1,Poor,Medium,Adult,81006
34,74992,Self-Employed,641,0,51946,0.58,1,2,Tier 1,0.69268722,1,Fair,Medium,Adult,83173
35,75126,Self-Employed,705,1,52002,0.65,0,0,Tier 3,0.692197109,1,Good,Medium,Adult,93221
29,76935,Salaried,730,1,34547,0.8,1,0,Tier 3,0.449041399,1,Good,Medium,Young,97875
39,55121,Salaried,798,3,27575,0.79,2,1,Tier 2,0.500263058,1,Excellent,Medium,Adult,109296
44,74416,Self-Employed,702,3,17423,0.76,4,1,Tier 2,0.234129757,1,Good,Medium,Adult,75764
34,88227,Self-Employed,598,0,19914,0.92,0,1,Tier 3,0.225713217,0,Fair,High,Adult,127076
53,38623,Self-Employed,577,3,21338,0.55,0,0,Tier 1,0.552468736,1,Poor,Low,Senior,44801
33,28244,Salaried,794,1,13984,0.81,1,2,Tier 3,0.495114007,1,Excellent,Low,Adult,60355
35,75691,Salaried,775,1,42542,0.87,1,1,Tier 1,0.562048328,1,Excellent,Medium,Adult,167000
43,66370,Salaried,730,2,14400,0.7,4,3,Tier 1,0.216965496,1,Good,Medium,Adult,64860
43,68045,Salaried,559,0,29976,0.63,1,3,Tier 2,0.440532001,1,Poor,Medium,Adult,78034
43,67355,Salaried,742,0,34212,0.83,3,2,Tier 1,0.507935565,1,Excellent,Medium,Adult,77425
29,21838,Self-Employed,765,1,8716,0.82,2,1,Tier 3,0.399120799,1,Excellent,Low,Young,44313
25,29917,Salaried,658,1,6613,0.54,1,2,Tier 1,0.221044891,1,Fair,Low,Young,32259
35,66631,Salaried,736,1,46281,0.81,1,1,Tier 1,0.694586604,1,Good,Medium,Adult,85357
30,37245,Salaried,677,2,11555,0.81,0,0,Tier 2,0.310242986,1,Good,Low,Adult,50497
36,72896,Self-Employed,600,0,36349,0.5,1,4,Tier 1,0.498641901,1,Fair,Medium,Adult,76364
39,80950,Salaried,863,2,19893,0.92,0,5,Tier 3,0.245744287,0,Excellent,High,Adult,194546
35,30688,Salaried,651,0,6216,0.7,2,2,Tier 2,0.202554745,1,Fair,Low,Adult,34518
25,100539,Salaried,677,3,61564,0.88,0,2,Tier 2,0.61233949,1,Good,High,Young,142107
29,37243,Salaried,682,0,10435,0.64,1,1,Tier 2,0.280186881,1,Good,Low,Young,43040
31,58890,Self-Employed,653,0,33671,0.76,2,1,Tier 3,0.57176091,1,Fair,Medium,Adult,69008
29,40265,Self-Employed,732,2,15637,0.77,0,2,Tier 3,0.388352167,1,Good,Medium,Young,53579
26,75266,Self-Employed,752,1,17606,0.94,0,1,Tier 3,0.233917041,0,Excellent,Medium,Young,182795
33,90408,Salaried,660,2,44951,0.67,1,1,Tier 2,0.497201575,1,Fair,High,Adult,106484
21,18970,Self-Employed,687,1,13252,0.62,0,2,Tier 1,0.6985767,1,Good,Low,Young,23027
30,48297,Self-Employed,778,0,12831,0.68,0,2,Tier 2,0.265668675,1,Excellent,Medium,Adult,101409
34,24969,Salaried,835,3,15785,0.98,0,5,Tier 2,0.632183908,0,Excellent,Low,Adult,61746
24,85415,Self-Employed,699,0,58403,0.76,0,2,Tier 3,0.683755781,1,Good,High,Young,112780
39,49197,Salaried,605,1,11419,0.51,1,1,Tier 3,0.232107649,1,Fair,Medium,Adult,52139
45,31260,Salaried,849,3,21486,1,1,3,Tier 3,0.687332054,0,Excellent,Low,Adult,74241
35,98041,Salaried,718,0,54043,0.78,0,1,Tier 3,0.551228568,1,Good,High,Adult,130566
27,28439,Self-Employed,631,2,19587,0.76,1,2,Tier 3,0.688737297,1,Fair,Low,Young,35498
40,71789,Self-Employed,668,3,39809,0.78,1,1,Tier 2,0.554527852,1,Fair,Medium,Adult,90537
34,93118,Salaried,813,3,55118,0.85,0,2,Tier 1,0.591915634,1,Excellent,High,Adult,214794
52,39053,Self-Employed,677,2,23230,0.75,2,3,Tier 3,0.594832663,1,Good,Low,Senior,45392
37,57631,Self-Employed,607,1,17392,0.64,2,3,Tier 2,0.301782027,1,Fair,Medium,Adult,62274
49,54489,Salaried,803,1,22848,0.88,2,1,Tier 3,0.41931399,1,Excellent,Medium,Adult,114541
39,24456,Salaried,596,1,10587,0.61,1,2,Tier 3,0.432899902,1,Fair,Low,Adult,27755
32,56476,Salaried,696,1,25196,0.83,1,1,Tier 1,0.446136412,1,Good,Medium,Adult,73179
47,30248,Self-Employed,805,1,12085,1,0,1,Tier 1,0.399530547,0,Excellent,Low,Adult,75619
31,15000,Self-Employed,740,0,9217,0.67,2,0,Tier 2,0.614466667,1,Excellent,Low,Adult,16498
42,20898,Self-Employed,816,1,9754,0.98,0,3,Tier 2,0.466743229,0,Excellent,Low,Adult,51654
34,50968,Salaried,664,1,34062,0.81,0,1,Tier 2,0.668301679,1,Fair,Medium,Adult,69228
38,40381,Salaried,523,1,21926,0.59,0,1,Tier 1,0.542978133,1,Poor,Medium,Adult,48090
29,103245,Self-Employed,636,0,31069,0.73,2,4,Tier 2,0.300924984,1,Fair,High,Young,118808
32,53675,Salaried,733,1,31360,0.83,4,1,Tier 3,0.584257103,1,Good,Medium,Adult,57738
46,48717,Salaried,746,1,30954,0.86,0,2,Tier 3,0.635383952,1,Excellent,Medium,Adult,68068
31,97044,Self-Employed,708,0,62006,0.87,0,1,Tier 2,0.638947282,1,Good,High,Adult,135788
47,37112,Self-Employed,604,1,14774,0.58,1,1,Tier 2,0.398092261,1,Fair,Low,Adult,41266
47,26230,Salaried,744,0,13674,0.83,4,0,Tier 2,0.521311475,1,Excellent,Low,Adult,28071
39,78908,Salaried,574,2,36834,0.78,3,0,Tier 1,0.466796776,1,Poor,Medium,Adult,87362
23,73879,Self-Employed,750,3,28816,0.82,0,0,Tier 2,0.390043179,1,Excellent,Medium,Young,101047
46,43883,Self-Employed,641,3,15519,0.73,0,2,Tier 3,0.353644919,1,Fair,Medium,Adult,56944
38,72743,Self-Employed,825,3,19030,0.95,0,2,Tier 2,0.261605928,0,Excellent,Medium,Adult,177274
35,69411,Self-Employed,764,0,41854,0.79,2,2,Tier 3,0.602987999,1,Excellent,Medium,Adult,138040
37,38218,Self-Employed,758,3,14538,0.86,0,1,Tier 2,0.380396672,1,Excellent,Low,Adult,88851
28,44101,Salaried,819,2,23540,0.93,0,1,Tier 2,0.533774744,0,Excellent,Medium,Young,106611
27,48395,Salaried,807,2,22633,0.84,0,0,Tier 1,0.46767228,1,Excellent,Medium,Young,111424
34,53275,Self-Employed,610,2,26490,0.71,0,2,Tier 1,0.497231347,1,Fair,Medium,Adult,68294
32,70852,Salaried,678,0,35540,0.82,1,2,Tier 3,0.501608988,1,Good,Medium,Adult,91477
35,37014,Salaried,622,0,8688,0.62,1,3,Tier 1,0.234721997,1,Fair,Low,Adult,42063
24,29282,Self-Employed,704,0,6623,0.63,2,1,Tier 1,0.226179906,1,Good,Low,Young,31455
35,60775,Salaried,646,3,18261,0.63,1,2,Tier 1,0.300468943,1,Fair,Medium,Adult,69569
41,31736,Salaried,697,3,21805,0.7,1,1,Tier 1,0.687074616,1,Good,Low,Adult,38062
27,52671,Salaried,707,2,31129,0.68,0,0,Tier 1,0.591008335,1,Good,Medium,Young,66305
34,51201,Salaried,591,3,31368,0.68,1,3,Tier 1,0.612644284,1,Fair,Medium,Adult,60519
37,41228,Salaried,813,0,26344,0.93,1,0,Tier 3,0.638983215,0,Excellent,Medium,Adult,94313
33,64245,Salaried,729,0,31325,0.61,1,4,Tier 1,0.487586583,1,Good,Medium,Adult,72906
35,37810,Salaried,705,3,8050,0.83,1,1,Tier 3,0.212906638,1,Good,Low,Adult,49174
21,50981,Salaried,701,1,19495,0.89,0,0,Tier 3,0.382397364,1,Good,Medium,Young,72391
32,53091,Self-Employed,687,3,13840,0.7,1,4,Tier 3,0.260684485,1,Good,Medium,Adult,63787
45,98516,Self-Employed,754,0,55382,0.79,1,2,Tier 2,0.562162491,1,Excellent,High,Adult,208672
28,52705,Self-Employed,512,0,11047,0.66,0,1,Tier 3,0.209600607,1,Poor,Medium,Young,65427
28,82487,Self-Employed,806,1,24699,0.76,1,1,Tier 3,0.299429001,1,Excellent,High,Young,170826
31,41134,Salaried,649,0,23392,0.49,1,4,Tier 3,0.568677979,1,Fair,Medium,Adult,42908
39,79755,Self-Employed,706,0,26042,0.84,1,1,Tier 3,0.326524983,1,Good,Medium,Adult,104275
48,70960,Self-Employed,659,2,19520,0.74,1,0,Tier 1,0.275084555,1,Fair,Medium,Adult,87338
30,102792,Self-Employed,766,1,25974,0.85,0,5,Tier 1,0.252685034,1,Excellent,High,Adult,237978
28,55651,Salaried,663,0,32399,0.84,1,0,Tier 2,0.582181812,1,Fair,Medium,Young,72468
39,32772,Salaried,649,2,7689,0.72,1,0,Tier 1,0.234621018,1,Fair,Low,Adult,39778
39,71710,Self-Employed,741,2,35225,0.9,0,0,Tier 2,0.491214614,0,Excellent,Medium,Adult,102075
21,54599,Salaried,647,2,13514,0.8,1,2,Tier 1,0.247513691,1,Fair,Medium,Young,69814
37,56148,Salaried,785,2,19256,0.9,2,3,Tier 3,0.342950773,0,Excellent,Medium,Adult,119499
37,72496,Salaried,656,1,24262,0.9,0,1,Tier 1,0.33466674,0,Fair,Medium,Adult,103408
48,50610,Salaried,600,0,31396,0.7,1,1,Tier 2,0.620351709,1,Fair,Medium,Adult,60638
33,53253,Salaried,651,3,34006,0.6,2,2,Tier 1,0.638574353,1,Fair,Medium,Adult,56076
46,52584,Self-Employed,767,1,25111,0.92,0,2,Tier 2,0.477540697,0,Excellent,Medium,Adult,126478
43,54619,Salaried,738,2,33664,0.9,1,2,Tier 1,0.616342298,0,Good,Medium,Adult,73628
46,84539,Salaried,688,1,54367,0.59,1,0,Tier 3,0.643099634,1,Good,High,Adult,94761
32,42120,Salaried,687,1,16589,0.86,0,1,Tier 1,0.393850902,1,Good,Medium,Adult,58801
39,125839,Self-Employed,870,1,63139,1,0,2,Tier 2,0.501744292,0,Excellent,High,Adult,314598
31,102028,Self-Employed,787,0,64727.125,0.93,0,1,Tier 3,0.634405506,0,Excellent,High,Adult,246113
40,33135,Salaried,709,2,10282,0.94,2,2,Tier 1,0.310306323,0,Good,Low,Adult,43219
23,67002,Salaried,790,2,45237,0.91,1,3,Tier 2,0.67515895,0,Excellent,Medium,Young,151437
33,79695,Self-Employed,708,1,26271,0.89,1,2,Tier 1,0.329644269,1,Good,Medium,Adult,106988
36,55397,Self-Employed,731,1,36117,0.82,0,0,Tier 2,0.651966713,1,Good,Medium,Adult,75709
35,40048,Self-Employed,744,1,23055,0.86,0,0,Tier 3,0.575684179,1,Excellent,Medium,Adult,55928
21,67727,Salaried,664,3,46556,0.63,1,0,Tier 3,0.687406795,1,Fair,Medium,Young,77759
35,15000,Salaried,790,3,5605,0.9,0,1,Tier 3,0.373666667,0,Excellent,Low,Adult,35671
39,60849,Salaried,820,0,27214,0.83,0,3,Tier 1,0.447238245,1,Excellent,Medium,Adult,138990
44,57197,Self-Employed,676,1,18617,0.77,1,2,Tier 1,0.325489099,1,Good,Medium,Adult,71689
44,130640.625,Self-Employed,795,1,42331,0.86,0,1,Tier 1,0.324026313,1,Excellent,High,Adult,314312
35,15000,Salaried,639,2,7882,0.64,2,0,Tier 2,0.525466667,1,Fair,Low,Adult,16187
37,15000,Self-Employed,717,2,9541,0.95,1,0,Tier 2,0.636066667,0,Good,Low,Adult,20868
29,44164,Salaried,594,3,30583,0.65,2,0,Tier 1,0.692487094,1,Fair,Medium,Young,48157
32,15000,Self-Employed,637,3,3701,0.57,0,0,Tier 2,0.246733333,1,Fair,Low,Adult,17685
45,57251,Salaried,829,3,29616,0.88,1,0,Tier 1,0.517301008,1,Excellent,Medium,Adult,127125
32,25424,Salaried,737,3,12883,0.9,0,2,Tier 2,0.506725928,0,Good,Low,Adult,36186
26,78939,Self-Employed,780,2,21791,1,0,4,Tier 3,0.276048594,0,Excellent,Medium,Young,197348
37,57350,Salaried,670,3,20733,0.66,1,0,Tier 3,0.361517001,1,Good,Medium,Adult,67024
45,33893,Salaried,767,2,21321,0.87,0,1,Tier 3,0.629067949,1,Excellent,Low,Adult,79184
35,23441,Salaried,806,1,7669,0.91,0,1,Tier 3,0.327161811,0,Excellent,Low,Adult,55935
21,62832,Self-Employed,690,2,17027,0.7,2,2,Tier 1,0.270992488,1,Good,Medium,Young,70704
26,40218,Salaried,743,2,14376,0.87,1,0,Tier 1,0.357451887,1,Excellent,Medium,Young,53465
24,73791,Self-Employed,875,0,26023,1,2,2,Tier 3,0.352658183,0,Excellent,Medium,Young,166030
24,58620,Self-Employed,628,0,22847,0.64,0,2,Tier 1,0.389747526,1,Fair,Medium,Young,72126
32,45563,Salaried,753,2,28667,0.89,1,0,Tier 1,0.629172794,1,Excellent,Medium,Adult,101831
39,100096,Self-Employed,884,0,51461,1,0,0,Tier 2,0.514116448,0,Excellent,High,Adult,250240
32,31786,Salaried,727,2,10202,0.81,0,1,Tier 3,0.320958913,1,Good,Low,Adult,43050
24,89668,Self-Employed,842,2,20825,0.82,2,2,Tier 1,0.232245617,1,Excellent,High,Young,181101
36,47986,Self-Employed,722,2,29545,0.71,0,5,Tier 2,0.615700413,1,Good,Medium,Adult,61524
32,27592,Salaried,711,3,10220,0.76,2,2,Tier 3,0.370397217,1,Good,Low,Adult,32180
39,62302,Self-Employed,527,0,32778,0.6,2,0,Tier 3,0.526114731,1,Poor,Medium,Adult,65318
22,94197,Self-Employed,736,3,30089,0.57,1,1,Tier 2,0.319426309,1,Good,High,Young,103682
30,51649,Salaried,603,0,10472,0.78,1,2,Tier 3,0.202753199,1,Fair,Medium,Adult,65017
42,95492,Self-Employed,673,2,44480,0.77,0,1,Tier 2,0.465798182,1,Good,High,Adult,126572
22,58027,Self-Employed,667,2,23053,0.56,3,3,Tier 1,0.397280576,1,Fair,Medium,Young,54869
43,42460,Salaried,766,2,22616,0.91,0,3,Tier 1,0.532642487,0,Excellent,Medium,Adult,101368
46,60238,Salaried,706,1,32185,0.68,1,5,Tier 1,0.534297287,1,Good,Medium,Adult,71174
42,75642,Salaried,729,2,52619,0.87,0,1,Tier 2,0.695632056,1,Good,Medium,Adult,105853
38,15000,Salaried,778,0,8469,0.96,0,2,Tier 2,0.5646,0,Excellent,Low,Adult,36776
21,77871,Self-Employed,804,2,24384,0.8,2,1,Tier 2,0.313133259,1,Excellent,Medium,Young,155784
31,117569,Self-Employed,782,0,63982,0.76,1,2,Tier 2,0.544208082,1,Excellent,High,Adult,243925
31,15000,Self-Employed,746,3,3050,0.96,0,0,Tier 1,0.203333333,0,Excellent,Low,Adult,22007
37,21133,Self-Employed,821,0,6529,0.91,0,0,Tier 3,0.308948091,0,Excellent,Low,Adult,50444
23,27705,Salaried,727,0,6917,0.63,0,0,Tier 3,0.249666125,1,Good,Low,Young,33891
36,86828,Self-Employed,696,3,22408,0.76,4,2,Tier 3,0.258073433,1,Good,High,Adult,88823
31,130640.625,Self-Employed,575,0,42338,0.7,0,2,Tier 2,0.324079895,1,Poor,High,Adult,190466
40,32156,Self-Employed,650,2,21970,0.52,1,2,Tier 3,0.683231745,1,Fair,Low,Adult,34350
29,91310,Self-Employed,788,0,31981,0.98,0,1,Tier 3,0.350246413,0,Excellent,High,Young,226230
49,130640.625,Self-Employed,599,0,46871,0.69,1,1,Tier 2,0.358778137,1,Fair,High,Adult,178316
35,42767,Salaried,877,2,9290,0.88,1,1,Tier 1,0.21722356,1,Excellent,Medium,Adult,95344
60,62796,Salaried,661,0,24696,0.52,3,4,Tier 1,0.393273457,1,Fair,Medium,Senior,57499
28,22307,Salaried,797,2,7143,0.78,0,1,Tier 3,0.320213386,1,Excellent,Low,Young,49502
43,49626,Salaried,688,1,26990,0.86,0,1,Tier 2,0.543868134,1,Good,Medium,Adult,69214
32,106428,Self-Employed,650,3,49413,0.71,1,0,Tier 2,0.464285714,1,Fair,High,Adult,128499
43,63942,Salaried,814,3,37282,0.94,0,1,Tier 3,0.583059648,0,Excellent,Medium,Adult,155026
40,59406,Salaried,571,1,30656,0.81,0,0,Tier 2,0.516042151,1,Poor,Medium,Adult,80508
42,40735,Salaried,702,0,18343,0.85,0,0,Tier 2,0.450300724,1,Good,Medium,Adult,56394
28,27967,Salaried,770,2,17667,0.7,0,1,Tier 3,0.6317088,1,Excellent,Low,Young,59299
37,19184,Salaried,709,0,9980,0.79,0,1,Tier 2,0.520225188,1,Good,Low,Adult,25808
45,63559,Salaried,752,0,27138,0.86,0,2,Tier 2,0.426973363,1,Excellent,Medium,Adult,147574
30,77097,Self-Employed,829,1,35471,0.96,0,1,Tier 1,0.460082753,0,Excellent,Medium,Adult,188922
33,86687,Self-Employed,784,3,29107,0.78,0,4,Tier 1,0.335771223,1,Excellent,High,Adult,193320
28,44247,Self-Employed,810,3,11103,0.77,1,4,Tier 2,0.250932267,1,Excellent,Medium,Young,92110
35,47524,Self-Employed,747,0,10510,0.9,1,0,Tier 3,0.221151418,0,Excellent,Medium,Adult,64292
43,69308,Salaried,818,0,47339,0.8,0,2,Tier 1,0.683023605,1,Excellent,Medium,Adult,156233
34,15000,Salaried,717,0,9494,0.7,2,1,Tier 2,0.632933333,1,Good,Low,Adult,16841
51,79802,Self-Employed,744,3,24419,0.79,1,2,Tier 3,0.305994837,1,Excellent,Medium,Senior,101125
36,52766,Salaried,692,1,22904,0.69,0,4,Tier 3,0.434067392,1,Good,Medium,Adult,66804
21,45428,Salaried,640,3,20281,0.79,1,3,Tier 3,0.446442723,1,Fair,Medium,Young,57546
36,19115,Self-Employed,693,2,5924,0.69,1,0,Tier 3,0.30991368,1,Good,Low,Adult,22847
24,73056,Self-Employed,843,3,27326,1,2,4,Tier 2,0.374041831,0,Excellent,Medium,Young,164375
54,78937,Self-Employed,765,3,52784,0.79,0,3,Tier 2,0.668685154,1,Excellent,Medium,Senior,176424
29,50418,Salaried,738,1,34354,0.8,0,0,Tier 1,0.681383633,1,Good,Medium,Young,68042
35,27257,Salaried,644,1,18830,0.81,0,3,Tier 1,0.690831713,1,Fair,Low,Adult,36917
33,69747,Salaried,713,1,38630,0.68,2,2,Tier 1,0.553858947,1,Good,Medium,Adult,77592
36,23849,Salaried,735,2,10238,0.93,0,2,Tier 3,0.429284247,0,Good,Low,Adult,34438
