customer_id,age,monthly_income,employment_type,credit_score,existing_credit_cards,avg_monthly_spend,repayment_ratio,missed_payments_last_6m,loan_accounts,location_tier,recommended_credit_limit
CUST00037,25,64946,Salaried,768,0,45154,0.67,1,4,Tier 1,127826
CUST00038,28,88986,Self-Employed,539,0,39891,0.44,0,0,Tier 3,96397
CUST00039,43,56483,Salaried,709,2,38143,0.98,0,1,Tier 2,83835
CUST00040,38,59722,Self-Employed,739,0,39743,1.0,1,4,Tier 3,85104
CUST00041,23,61182,Salaried,789,0,14725,0.73,4,0,Tier 2,101857
CUST00042,21,114348,Self-Employed,649,3,37090,0.65,0,2,Tier 3,141391
CUST00043,35,79682,Self-Employed,653,1,45659,0.77,1,1,Tier 3,100089
CUST00044,26,15000,Self-Employed,767,0,3326,0.94,0,0,Tier 1,36310
CUST00045,36,57042,Self-Employed,868,3,29307,1.0,0,3,Tier 1,142604
CUST00046,30,30255,Salaried,680,2,15836,0.62,0,1,Tier 2,36767
CUST00047,42,80253,Self-Employed,870,3,28471,1.0,0,5,Tier 1,200631
CUST00048,31,52841,Salaried,802,2,14923,1.0,0,3,Tier 1,132102
CUST00049,30,78269,Self-Employed,742,1,33996,0.67,0,8,Tier 3,97738
CUST00050,32,36869,Salaried,657,1,12438,0.76,1,1,Tier 3,45994
CUST00051,44,81023,Salaried,729,2,37277,0.83,2,0,Tier 3,98868
CUST00052,35,77936,Salaried,688,1,40502,0.78,2,0,Tier 1,92631
CUST00053,23,76004,Self-Employed,546,3,44981,0.77,2,2,Tier 1,89467
CUST00054,24,52561,Salaried,681,2,19642,0.79,0,2,Tier 3,70729
CUST00055,32,80998,Self-Employed,644,1,23566,0.79,1,0,Tier 2,102682
CUST00056,34,88483,Self-Employed,677,1,32964,0.73,1,2,Tier 3,108080
CUST00057,36,66942,Self-Employed,723,0,40145,0.73,2,2,Tier 3,76984
CUST00058,28,70713,Self-Employed,745,2,46813,0.9,0,1,Tier 2,101012
CUST00059,43,67028,Salaried,640,0,43408,1.0,0,2,Tier 2,100542
CUST00060,36,34578,Salaried,766,0,16666,0.7,0,1,Tier 2,73265
CUST00061,39,43781,Self-Employed,719,0,20514,0.95,0,0,Tier 3,64068
CUST00062,21,64229,Salaried,696,0,32357,0.77,0,1,Tier 1,85370
CUST00063,28,40838,Salaried,669,2,11448,0.68,0,1,Tier 3,51581
CUST00064,38,65950,Salaried,731,1,13365,0.81,3,2,Tier 1,74754
CUST00065,32,47102,Self-Employed,575,3,21375,0.59,1,1,Tier 2,52743
CUST00066,21,96458,Self-Employed,585,3,37099,0.86,0,0,Tier 3,134320
CUST00067,46,51941,Self-Employed,780,0,28087,0.92,0,1,Tier 3,124635
CUST00068,25,59030,Salaried,771,2,23864,0.81,2,5,Tier 3,118490
CUST00069,42,55795,Salaried,886,1,21170,0.96,1,1,Tier 1,129544
CUST00070,22,15000,Salaried,840,1,7331,0.81,1,1,Tier 2,32105
CUST00071,31,53304,Salaried,765,0,19587,0.88,0,3,Tier 3,125520
CUST00072,27,99102,Self-Employed,777,0,26913,0.93,0,1,Tier 2,238985
CUST00073,30,44603,Salaried,641,0,26701,0.67,2,2,Tier 2,49156
CUST00074,22,26444,Salaried,665,0,10890,0.82,1,0,Tier 2,34118
CUST00075,38,73282,Self-Employed,778,0,40182,0.89,0,2,Tier 2,172773
CUST00076,42,51177,Self-Employed,680,2,15003,0.71,0,1,Tier 1,65566
CUST00077,21,65260,Self-Employed,685,2,39249,0.85,1,2,Tier 1,85474
CUST00078,42,84151,Self-Employed,597,0,23794,0.59,0,0,Tier 3,100444
CUST00079,36,44622,Salaried,631,2,10829,0.7,1,1,Tier 3,53586
CUST00080,31,56559,Self-Employed,550,0,28986,0.72,1,2,Tier 2,68707
CUST00081,32,107383,Self-Employed,554,3,29812,0.64,1,1,Tier 3,124392
CUST00082,23,74444,Salaried,546,2,24339,0.61,1,3,Tier 1,84264
CUST00083,44,66277,Salaried,644,2,41612,0.68,1,2,Tier 2,78511
CUST00084,41,63777,Salaried,757,2,16671,0.87,0,2,Tier 3,149408
CUST00085,49,76315,Salaried,579,3,25492,0.52,1,2,Tier 2,81006
CUST00086,34,74992,Self-Employed,641,0,51946,0.58,1,2,Tier 1,83173
CUST00087,35,75126,Self-Employed,705,1,52002,0.65,0,0,Tier 3,93221
CUST00088,29,76935,Salaried,730,1,34547,0.8,1,0,Tier 3,97875
CUST00089,39,55121,Salaried,798,3,27575,0.79,2,1,Tier 2,109296
CUST00090,44,74416,Self-Employed,702,3,17423,0.76,4,1,Tier 2,75764
CUST00091,34,88227,Self-Employed,598,0,19914,0.92,0,1,Tier 3,127076
CUST00092,53,38623,Self-Employed,577,3,21338,0.55,0,0,Tier 1,44801
CUST00093,33,28244,Salaried,794,1,13984,0.81,1,2,Tier 3,60355
CUST00094,35,75691,Salaried,775,1,42542,0.87,1,1,Tier 1,167000
CUST00095,43,66370,Salaried,730,2,14400,0.7,4,3,Tier 1,64860
CUST00096,43,68045,Salaried,559,0,29976,0.63,1,3,Tier 2,78034
CUST00097,43,67355,Salaried,742,0,34212,0.83,3,2,Tier 1,77425
CUST00098,29,21838,Self-Employed,765,1,8716,0.82,2,1,Tier 3,44313
CUST00099,25,29917,Salaried,658,1,6613,0.54,1,2,Tier 1,32259
CUST00100,35,66631,Salaried,736,1,46281,0.81,1,1,Tier 1,85357
CUST00101,30,37245,Salaried,677,2,11555,0.81,0,0,Tier 2,50497
CUST00102,36,72896,Self-Employed,600,0,36349,0.5,1,4,Tier 1,76364
CUST00103,39,80950,Salaried,863,2,19893,0.92,0,5,Tier 3,194546
CUST00104,35,30688,Salaried,651,0,6216,0.7,2,2,Tier 2,34518
CUST00105,25,100539,Salaried,677,3,61564,0.88,0,2,Tier 2,142107
CUST00106,29,37243,Salaried,682,0,10435,0.64,1,1,Tier 2,43040
CUST00107,31,58890,Self-Employed,653,0,33671,0.76,2,1,Tier 3,69008
CUST00108,29,40265,Self-Employed,732,2,15637,0.77,0,2,Tier 3,53579
CUST00109,26,75266,Self-Employed,752,1,17606,0.94,0,1,Tier 3,182795
CUST00110,33,90408,Salaried,660,2,44951,0.67,1,1,Tier 2,106484
CUST00111,21,18970,Self-Employed,687,1,13252,0.62,0,2,Tier 1,23027
CUST00112,30,48297,Self-Employed,778,0,12831,0.68,0,2,Tier 2,101409
CUST00113,34,24969,Salaried,835,3,15785,0.98,0,5,Tier 2,61746
CUST00114,24,85415,Self-Employed,699,0,58403,0.76,0,2,Tier 3,112780
CUST00115,39,49197,Salaried,605,1,11419,0.51,1,1,Tier 3,52139
CUST00116,45,31260,Salaried,849,3,21486,1.0,1,3,Tier 3,74241
CUST00117,35,98041,Salaried,718,0,54043,0.78,0,1,Tier 3,130566
CUST00118,27,28439,Self-Employed,631,2,19587,0.76,1,2,Tier 3,35498
CUST00119,40,71789,Self-Employed,668,3,39809,0.78,1,1,Tier 2,90537
CUST00120,34,93118,Salaried,813,3,55118,0.85,0,2,Tier 1,214794
CUST00121,52,39053,Self-Employed,677,2,23230,0.75,2,3,Tier 3,45392
CUST00122,37,57631,Self-Employed,607,1,17392,0.64,2,3,Tier 2,62274
CUST00123,49,54489,Salaried,803,1,22848,0.88,2,1,Tier 3,114541
CUST00124,39,24456,Salaried,596,1,10587,0.61,1,2,Tier 3,27755
CUST00125,32,56476,Salaried,696,1,25196,0.83,1,1,Tier 1,73179
CUST00126,47,30248,Self-Employed,805,1,12085,1.0,0,1,Tier 1,75619
CUST00127,31,15000,Self-Employed,740,0,9217,0.67,2,0,Tier 2,16498
CUST00128,42,20898,Self-Employed,816,1,9754,0.98,0,3,Tier 2,51654
CUST00129,34,50968,Salaried,664,1,34062,0.81,0,1,Tier 2,69228
CUST00130,38,40381,Salaried,523,1,21926,0.59,0,1,Tier 1,48090
CUST00131,29,103245,Self-Employed,636,0,31069,0.73,2,4,Tier 2,118808
CUST00132,32,53675,Salaried,733,1,31360,0.83,4,1,Tier 3,57738
CUST00133,46,48717,Salaried,746,1,30954,0.86,0,2,Tier 3,68068
CUST00134,31,97044,Self-Employed,708,0,62006,0.87,0,1,Tier 2,135788
CUST00135,47,37112,Self-Employed,604,1,14774,0.58,1,1,Tier 2,41266
CUST00136,47,26230,Salaried,744,0,13674,0.83,4,0,Tier 2,28071
CUST00137,39,78908,Salaried,574,2,36834,0.78,3,0,Tier 1,87362
CUST00138,23,73879,Self-Employed,750,3,28816,0.82,0,0,Tier 2,101047
CUST00139,46,43883,Self-Employed,641,3,15519,0.73,0,2,Tier 3,56944
CUST00140,38,72743,Self-Employed,825,3,19030,0.95,0,2,Tier 2,177274
CUST00141,35,69411,Self-Employed,764,0,41854,0.79,2,2,Tier 3,138040
CUST00142,37,38218,Self-Employed,758,3,14538,0.86,0,1,Tier 2,88851
CUST00143,28,44101,Salaried,819,2,23540,0.93,0,1,Tier 2,106611
CUST00144,27,48395,Salaried,807,2,22633,0.84,0,0,Tier 1,111424
CUST00145,34,53275,Self-Employed,610,2,26490,0.71,0,2,Tier 1,68294
CUST00146,32,70852,Salaried,678,0,35540,0.82,1,2,Tier 3,91477
CUST00147,35,37014,Salaried,622,0,8688,0.62,1,3,Tier 1,42063
CUST00148,24,29282,Self-Employed,704,0,6623,0.63,2,1,Tier 1,31455
CUST00149,35,60775,Salaried,646,3,18261,0.63,1,2,Tier 1,69569
CUST00150,41,31736,Salaried,697,3,21805,0.7,1,1,Tier 1,38062
CUST00151,27,52671,Salaried,707,2,31129,0.68,0,0,Tier 1,66305
CUST00152,34,51201,Salaried,591,3,31368,0.68,1,3,Tier 1,60519
CUST00153,37,41228,Salaried,813,0,26344,0.93,1,0,Tier 3,94313
CUST00154,33,64245,Salaried,729,0,31325,0.61,1,4,Tier 1,72906
CUST00155,35,37810,Salaried,705,3,8050,0.83,1,1,Tier 3,49174
CUST00156,21,50981,Salaried,701,1,19495,0.89,0,0,Tier 3,72391
CUST00157,32,53091,Self-Employed,687,3,13840,0.7,1,4,Tier 3,63787
CUST00158,45,98516,Self-Employed,754,0,55382,0.79,1,2,Tier 2,208672
CUST00159,28,52705,Self-Employed,512,0,11047,0.66,0,1,Tier 3,65427
CUST00160,28,82487,Self-Employed,806,1,24699,0.76,1,1,Tier 3,170826
CUST00161,31,41134,Salaried,649,0,23392,0.49,1,4,Tier 3,42908
CUST00162,39,79755,Self-Employed,706,0,26042,0.84,1,1,Tier 3,104275
CUST00163,48,70960,Self-Employed,659,2,19520,0.74,1,0,Tier 1,87338
CUST00164,30,102792,Self-Employed,766,1,25974,0.85,0,5,Tier 1,237978
CUST00165,28,55651,Salaried,663,0,32399,0.84,1,0,Tier 2,72468
CUST00166,39,32772,Salaried,649,2,7689,0.72,1,0,Tier 1,39778
CUST00167,39,71710,Self-Employed,741,2,35225,0.9,0,0,Tier 2,102075
CUST00168,21,54599,Salaried,647,2,13514,0.8,1,2,Tier 1,69814
CUST00169,37,56148,Salaried,785,2,19256,0.9,2,3,Tier 3,119499
CUST00170,37,72496,Salaried,656,1,24262,0.9,0,1,Tier 1,103408
CUST00171,48,50610,Salaried,600,0,31396,0.7,1,1,Tier 2,60638
CUST00172,33,53253,Salaried,651,3,34006,0.6,2,2,Tier 1,56076
CUST00173,46,52584,Self-Employed,767,1,25111,0.92,0,2,Tier 2,126478
CUST00174,43,54619,Salaried,738,2,33664,0.9,1,2,Tier 1,73628
CUST00175,46,84539,Salaried,688,1,54367,0.59,1,0,Tier 3,94761
CUST00176,32,42120,Salaried,687,1,16589,0.86,0,1,Tier 1,58801
CUST00177,39,125839,Self-Employed,870,1,63139,1.0,0,2,Tier 2,314598
CUST00178,31,102028,Self-Employed,787,0,70500,0.93,0,1,Tier 3,246113
CUST00179,40,33135,Salaried,709,2,10282,0.94,2,2,Tier 1,43219
CUST00180,23,67002,Salaried,790,2,45237,0.91,1,3,Tier 2,151437
CUST00181,33,79695,Self-Employed,708,1,26271,0.89,1,2,Tier 1,106988
CUST00182,36,55397,Self-Employed,731,1,36117,0.82,0,0,Tier 2,75709
CUST00183,35,40048,Self-Employed,744,1,23055,0.86,0,0,Tier 3,55928
CUST00184,21,67727,Salaried,664,3,46556,0.63,1,0,Tier 3,77759
CUST00185,35,15000,Salaried,790,3,5605,0.9,0,1,Tier 3,35671
CUST00186,39,60849,Salaried,820,0,27214,0.83,0,3,Tier 1,138990
CUST00187,44,57197,Self-Employed,676,1,18617,0.77,1,2,Tier 1,71689
CUST00188,44,135212,Self-Employed,795,1,42331,0.86,0,1,Tier 1,314312
CUST00189,35,15000,Salaried,639,2,7882,0.64,2,0,Tier 2,16187
CUST00190,37,15000,Self-Employed,717,2,9541,0.95,1,0,Tier 2,20868
CUST00191,29,44164,Salaried,594,3,30583,0.65,2,0,Tier 1,48157
CUST00192,32,15000,Self-Employed,637,3,3701,0.57,0,0,Tier 2,17685
CUST00193,45,57251,Salaried,829,3,29616,0.88,1,0,Tier 1,127125
CUST00194,32,25424,Salaried,737,3,12883,0.9,0,2,Tier 2,36186
CUST00195,26,78939,Self-Employed,780,2,21791,1.0,0,4,Tier 3,197348
CUST00196,37,57350,Salaried,670,3,20733,0.66,1,0,Tier 3,67024
CUST00197,45,33893,Salaried,767,2,21321,0.87,0,1,Tier 3,79184
CUST00198,35,23441,Salaried,806,1,7669,0.91,0,1,Tier 3,55935
CUST00199,21,62832,Self-Employed,690,2,17027,0.7,2,2,Tier 1,70704
CUST00200,26,40218,Salaried,743,2,14376,0.87,1,0,Tier 1,53465
CUST00201,24,73791,Self-Employed,875,0,26023,1.0,2,2,Tier 3,166030
CUST00202,24,58620,Self-Employed,628,0,22847,0.64,0,2,Tier 1,72126
CUST00203,32,45563,Salaried,753,2,28667,0.89,1,0,Tier 1,101831
CUST00204,39,100096,Self-Employed,884,0,51461,1.0,0,0,Tier 2,250240
CUST00205,32,31786,Salaried,727,2,10202,0.81,0,1,Tier 3,43050
CUST00206,24,89668,Self-Employed,842,2,20825,0.82,2,2,Tier 1,181101
CUST00207,36,47986,Self-Employed,722,2,29545,0.71,0,5,Tier 2,61524
CUST00208,32,27592,Salaried,711,3,10220,0.76,2,2,Tier 3,32180
CUST00209,39,62302,Self-Employed,527,0,32778,0.6,2,0,Tier 3,65318
CUST00210,22,94197,Self-Employed,736,3,30089,0.57,1,1,Tier 2,103682
CUST00211,30,51649,Salaried,603,0,10472,0.78,1,2,Tier 3,65017
CUST00212,42,95492,Self-Employed,673,2,44480,0.77,0,1,Tier 2,126572
CUST00213,22,58027,Self-Employed,667,2,23053,0.56,3,3,Tier 1,54869
CUST00214,43,42460,Salaried,766,2,22616,0.91,0,3,Tier 1,101368
CUST00215,46,60238,Salaried,706,1,32185,0.68,1,5,Tier 1,71174
CUST00216,42,75642,Salaried,729,2,52619,0.87,0,1,Tier 2,105853
CUST00217,38,15000,Salaried,778,0,8469,0.96,0,2,Tier 2,36776
CUST00218,21,77871,Self-Employed,804,2,24384,0.8,2,1,Tier 2,155784
CUST00219,31,117569,Self-Employed,782,0,63982,0.76,1,2,Tier 2,243925
CUST00220,31,15000,Self-Employed,746,3,3050,0.96,0,0,Tier 1,22007
CUST00221,37,21133,Self-Employed,821,0,6529,0.91,0,0,Tier 3,50444
CUST00222,23,27705,Salaried,727,0,6917,0.63,0,0,Tier 3,33891
CUST00223,36,86828,Self-Employed,696,3,22408,0.76,4,2,Tier 3,88823
CUST00224,31,148988,Self-Employed,575,0,42338,0.7,0,2,Tier 2,190466
CUST00225,40,32156,Self-Employed,650,2,21970,0.52,1,2,Tier 3,34350
CUST00226,29,91310,Self-Employed,788,0,31981,0.98,0,1,Tier 3,226230
CUST00227,49,149330,Self-Employed,599,0,46871,0.69,1,1,Tier 2,178316
CUST00228,35,42767,Salaried,877,2,9290,0.88,1,1,Tier 1,95344
CUST00229,60,62796,Salaried,661,0,24696,0.52,3,4,Tier 1,57499
CUST00230,28,22307,Salaried,797,2,7143,0.78,0,1,Tier 3,49502
CUST00231,43,49626,Salaried,688,1,26990,0.86,0,1,Tier 2,69214
CUST00232,32,106428,Self-Employed,650,3,49413,0.71,1,0,Tier 2,128499
CUST00233,43,63942,Salaried,814,3,37282,0.94,0,1,Tier 3,155026
CUST00234,40,59406,Salaried,571,1,30656,0.81,0,0,Tier 2,80508
CUST00235,42,40735,Salaried,702,0,18343,0.85,0,0,Tier 2,56394
CUST00236,28,27967,Salaried,770,2,17667,0.7,0,1,Tier 3,59299
CUST00237,37,19184,Salaried,709,0,9980,0.79,0,1,Tier 2,25808
CUST00238,45,63559,Salaried,752,0,27138,0.86,0,2,Tier 2,147574
CUST00239,30,77097,Self-Employed,829,1,35471,0.96,0,1,Tier 1,188922
CUST00240,33,86687,Self-Employed,784,3,29107,0.78,0,4,Tier 1,193320
CUST00241,28,44247,Self-Employed,810,3,11103,0.77,1,4,Tier 2,92110
CUST00242,35,47524,Self-Employed,747,0,10510,0.9,1,0,Tier 3,64292
CUST00243,43,69308,Salaried,818,0,47339,0.8,0,2,Tier 1,156233
CUST00244,34,15000,Salaried,717,0,9494,0.7,2,1,Tier 2,16841
CUST00245,51,79802,Self-Employed,744,3,24419,0.79,1,2,Tier 3,101125
CUST00246,36,52766,Salaried,692,1,22904,0.69,0,4,Tier 3,66804
CUST00247,21,45428,Salaried,640,3,20281,0.79,1,3,Tier 3,57546
CUST00248,36,19115,Self-Employed,693,2,5924,0.69,1,0,Tier 3,22847
CUST00249,24,73056,Self-Employed,843,3,27326,1.0,2,4,Tier 2,164375
CUST00250,54,78937,Self-Employed,765,3,52784,0.79,0,3,Tier 2,176424
CUST00251,29,50418,Salaried,738,1,34354,0.8,0,0,Tier 1,68042
CUST00252,35,27257,Salaried,644,1,18830,0.81,0,3,Tier 1,36917
CUST00253,33,69747,Salaried,713,1,38630,0.68,2,2,Tier 1,77592
CUST00254,36,23849,Salaried,735,2,10238,0.93,0,2,Tier 3,34438
CUST00255,38,58957,Salaried,749,1,18925,0.67,1,0,Tier 1,69528
CUST00256,47,60703,Salaried,780,1,22917,0.78,2,2,Tier 2,120116
CUST00257,37,77849,Salaried,814,1,21903,1.0,0,0,Tier 3,194623
CUST00258,38,53526,Self-Employed,821,2,25478,0.86,0,1,Tier 3,124662
CUST00259,29,69408,Self-Employed,681,0,36870,0.72,1,1,Tier 3,84373
CUST00260,31,137703,Self-Employed,695,0,33787,0.6,2,2,Tier 2,144768
CUST00261,33,50285,Salaried,643,2,15610,0.74,0,3,Tier 1,65465
CUST00262,33,97787,Self-Employed,682,3,26589,0.85,1,4,Tier 1,128030
CUST00263,36,38986,Salaried,637,0,24464,0.45,2,3,Tier 2,36471
CUST00264,40,51865,Self-Employed,716,1,17894,0.78,1,1,Tier 2,65304
CUST00265,25,48055,Self-Employed,638,0,16914,0.78,2,1,Tier 3,56830
CUST00266,31,32921,Salaried,646,1,8648,0.58,2,1,Tier 1,34076
CUST00267,35,45087,Self-Employed,761,3,26615,0.9,0,1,Tier 2,107216
CUST00268,42,42265,Self-Employed,746,2,20289,0.9,0,2,Tier 2,60233
CUST00269,42,60380,Self-Employed,863,0,39881,1.0,1,1,Tier 2,143402
CUST00270,31,89254,Self-Employed,630,1,24872,0.73,1,1,Tier 1,109191
CUST00271,34,83625,Self-Employed,677,2,47434,0.72,1,3,Tier 1,101782
CUST00272,45,87646,Salaried,720,3,40943,0.57,0,1,Tier 2,102987
CUST00273,28,54873,Salaried,830,3,21855,0.87,0,3,Tier 3,128562
CUST00274,31,50541,Salaried,728,3,16363,0.77,0,1,Tier 1,67080
CUST00275,33,24329,Self-Employed,809,1,13779,0.83,1,2,Tier 3,52623
CUST00276,41,39938,Salaried,619,2,27598,0.76,0,4,Tier 1,52654
CUST00277,35,56876,Salaried,716,0,13295,0.66,1,2,Tier 3,66660
CUST00278,54,72888,Self-Employed,604,2,17276,0.71,2,1,Tier 3,82554
CUST00279,45,67498,Self-Employed,734,2,16607,0.98,0,1,Tier 3,100382
CUST00280,49,70153,Salaried,559,3,29839,0.71,1,0,Tier 3,84539
CUST00281,40,86544,Self-Employed,747,3,26077,1.0,0,1,Tier 2,129584
CUST00282,27,51391,Salaried,777,1,34423,0.94,0,1,Tier 1,124338
CUST00283,41,44068,Self-Employed,708,3,25304,0.77,0,2,Tier 2,58616
CUST00284,40,55277,Salaried,598,0,29592,0.57,2,1,Tier 2,56742
CUST00285,29,36028,Salaried,650,3,11665,0.72,2,0,Tier 2,40950
CUST00286,34,93045,Self-Employed,693,2,36440,0.59,1,1,Tier 2,103786
CUST00287,41,34734,Salaried,723,3,13392,0.82,1,2,Tier 2,44773
CUST00288,38,41592,Salaried,829,2,26488,1.0,0,1,Tier 2,103980
CUST00289,21,55628,Self-Employed,578,2,11735,0.64,0,2,Tier 3,68621
CUST00290,35,92119,Self-Employed,707,0,23577,0.93,1,3,Tier 2,126732
CUST00291,39,28297,Salaried,653,3,12946,0.51,0,2,Tier 2,32069
CUST00292,28,61228,Salaried,768,0,31600,0.71,0,2,Tier 1,131052
CUST00293,38,21987,Salaried,721,0,13839,0.89,1,2,Tier 1,29571
CUST00294,31,117842,Self-Employed,668,1,46241,0.47,2,2,Tier 2,111901
CUST00295,32,61569,Self-Employed,753,1,23220,0.81,1,1,Tier 3,131986
CUST00296,35,43998,Self-Employed,621,0,25286,0.72,1,3,Tier 2,53321
CUST00297,52,15000,Salaried,720,0,9529,0.85,0,1,Tier 2,20867
CUST00298,31,80639,Self-Employed,716,2,36783,0.82,4,3,Tier 1,86166
CUST00299,49,28072,Salaried,787,0,5754,0.9,1,2,Tier 2,63249
CUST00300,21,70884,Salaried,900,3,43260,0.96,0,2,Tier 2,173532
CUST00301,36,44486,Salaried,795,2,20948,0.82,1,3,Tier 3,95792
CUST00302,46,53020,Salaried,697,1,26733,0.69,1,2,Tier 2,63064
CUST00303,40,63731,Self-Employed,888,3,12916,1.0,0,0,Tier 3,159328
CUST00304,25,113063,Self-Employed,543,3,52070,0.74,1,0,Tier 1,138827
CUST00305,38,48381,Self-Employed,762,1,14393,0.88,1,3,Tier 1,107425
CUST00306,47,46206,Self-Employed,804,1,18828,0.81,1,5,Tier 2,98929
CUST00307,39,31845,Salaried,841,1,19455,1.0,0,1,Tier 1,79612
CUST00308,45,45610,Self-Employed,778,0,21179,0.85,0,2,Tier 2,105463
CUST00309,46,86569,Self-Employed,770,0,50247,0.76,1,1,Tier 3,179697
CUST00310,32,69602,Salaried,748,3,41196,0.7,2,1,Tier 2,78058
CUST00311,28,84078,Self-Employed,597,0,19643,0.78,3,0,Tier 1,93293
CUST00312,43,53444,Salaried,714,0,34517,0.76,0,0,Tier 2,70695
CUST00313,51,62441,Salaried,826,2,36288,1.0,0,4,Tier 3,156103
CUST00314,36,44832,Self-Employed,752,0,21942,0.94,0,2,Tier 3,108773
CUST00315,35,72369,Salaried,763,0,40349,0.79,1,3,Tier 2,152747
CUST00316,29,74723,Self-Employed,681,1,51344,0.77,2,0,Tier 3,87772
CUST00317,45,129612,Self-Employed,677,0,80189,0.8,4,1,Tier 3,136532
CUST00318,32,105525,Self-Employed,743,1,55009,0.84,0,2,Tier 2,145838
CUST00319,41,75851,Self-Employed,659,0,48581,0.77,0,2,Tier 1,100431
CUST00320,29,77435,Self-Employed,735,3,20335,0.76,2,2,Tier 3,90386
CUST00321,29,80292,Self-Employed,744,1,53714,0.81,0,0,Tier 2,108760
CUST00322,28,36430,Salaried,716,3,24452,0.78,2,0,Tier 1,43289
CUST00323,28,67490,Salaried,668,0,24508,0.64,0,1,Tier 2,83050
CUST00324,34,67021,Salaried,840,3,18631,1.0,0,1,Tier 1,167553
CUST00325,30,44601,Self-Employed,718,0,19169,0.89,0,1,Tier 1,63198
CUST00326,39,62598,Salaried,556,0,43561,0.51,0,0,Tier 1,70886
CUST00327,48,26313,Salaried,680,3,11701,0.75,2,2,Tier 3,30594
CUST00328,35,83016,Self-Employed,509,2,54098,0.74,2,3,Tier 3,95788
CUST00329,30,24169,Salaried,743,1,8201,0.76,1,3,Tier 2,30177
CUST00330,41,60856,Self-Employed,779,3,34367,0.68,1,1,Tier 3,120214
CUST00331,38,44842,Self-Employed,649,0,8983,0.75,2,1,Tier 1,52153
CUST00332,39,30005,Salaried,657,1,20231,0.74,3,4,Tier 1,32500
CUST00333,21,73433,Salaried,690,3,20954,0.78,2,1,Tier 2,87062
CUST00334,40,91690,Self-Employed,683,2,60899,0.68,0,3,Tier 3,115607
CUST00335,30,57514,Self-Employed,629,0,34550,0.84,0,1,Tier 1,79447
CUST00336,26,54040,Salaried,737,0,35865,0.68,1,0,Tier 2,63853
CUST00337,37,48918,Self-Employed,623,1,10520,0.7,1,2,Tier 3,58753
