age,monthly_income,employment_type,credit_score,existing_credit_cards,avg_monthly_spend,repayment_ratio,missed_payments_last_6m,loan_accounts,location_tier,spend_to_income_ratio,missed_payment_flag,credit_category,income_category,age_bucket,recommended_credit_limit
42,84602.0,Self-Employed,735.0,0,26943.0,0.92,0,1,Tier 1,0.318467649,0,Good,High,Adult,121964
32,15000.0,Salaried,643.0,3,4798.0,0.63,2,1,Tier 3,0.319866667,1,Fair,Low,Adult,16081
38,108014.0,Self-Employed,608.0,2,48379.0,0.62,0,3,Tier 3,0.447895643,1,Fair,High,Adult,131435
37,41228.0,Salaried,813.0,0,26344.0,0.93,1,0,Tier 3,0.638983215,0,Excellent,Medium,Adult,94313
45,43344.0,Salaried,711.0,0,14802.0,0.92,0,1,Tier 1,0.341500554,0,Good,Medium,Adult,62383
35,86638.0,Salaried,819.0,1,36272.0,0.93,1,0,Tier 2,0.418661557,0,Excellent,High,Adult,198530
38,35190.0,Self-Employed,834.0,2,8083.0,0.89,0,2,Tier 2,0.229695936,1,Excellent,Low,Adult,83103
29,53360.0,Salaried,669.0,0,33330.0,0.62,3,0,Tier 1,0.624625187,1,Fair,Medium,Young,52759
25,69932.0,Self-Employed,743.0,2,44208.0,0.87,1,1,Tier 3,0.632156952,1,Excellent,Medium,Young,92627
37,113521.0,Self-Employed,781.0,3,38748.0,0.76,1,0,Tier 1,0.341328917,1,Excellent,High,Adult,235568
39,21319.0,Salaried,693.0,0,8767.0,0.66,1,4,Tier 3,0.41122942,1,Good,Low,Adult,24898
34,54407.0,Self-Employed,706.0,3,29439.0,0.77,1,0,Tier 2,0.541088463,1,Good,Medium,Adult,68175
28,70265.0,Salaried,553.0,3,45022.0,0.64,1,1,Tier 2,0.640745748,1,Poor,Medium,Young,81256
34,68632.0,Self-Employed,700.0,0,43181.0,0.77,0,2,Tier 1,0.629167152,1,Good,Medium,Adult,91119
36,15000.0,Self-Employed,635.0,3,9996.0,0.74,2,2,Tier 1,0.6664,1,Fair,Low,Adult,17351
32,34493.0,Self-Employed,738.0,3,8971.0,0.75,0,2,Tier 3,0.260081756,1,Good,Low,Adult,45323
34,25567.0,Salaried,549.0,2,16282.0,0.57,0,1,Tier 1,0.636836547,1,Poor,Low,Adult,30106
21,116676.0,Self-Employed,609.0,0,55623.0,0.77,2,0,Tier 2,0.476730433,1,Fair,High,Young,137304
37,81990.0,Self-Employed,649.0,2,48192.0,0.64,1,4,Tier 2,0.587778997,1,Fair,High,Adult,94924
38,91143.0,Self-Employed,649.0,0,47655.0,0.86,0,2,Tier 1,0.522859682,1,Fair,High,Adult,126971
32,69602.0,Salaried,748.0,3,41196.0,0.7,2,1,Tier 2,0.591879544,1,Excellent,Medium,Adult,78058
30,49453.0,Self-Employed,813.0,1,22273.0,0.91,0,0,Tier 3,0.450387236,0,Excellent,Medium,Adult,118209
47,120894.0,Self-Employed,627.0,0,55493.0,0.66,1,3,Tier 3,0.459021953,1,Fair,High,Adult,141261
48,64482.0,Self-Employed,747.0,2,31398.0,1.0,0,2,Tier 1,0.486926584,0,Excellent,Medium,Adult,96723
39,78840.0,Salaried,725.0,3,29091.0,0.72,1,0,Tier 2,0.368987823,1,Good,Medium,Adult,95525
24,89668.0,Self-Employed,842.0,2,20825.0,0.82,2,2,Tier 1,0.232245617,1,Excellent,High,Young,181101
26,33733.0,Salaried,583.0,1,12799.0,0.74,1,0,Tier 2,0.379420745,1,Fair,Low,Young,41463
45,66676.0,Self-Employed,668.0,3,44684.0,0.86,0,1,Tier 1,0.670166177,1,Fair,Medium,Adult,92940
34,84274.0,Salaried,731.0,0,43261.0,0.79,2,1,Tier 1,0.513337447,1,Good,High,Adult,100662
47,46206.0,Self-Employed,804.0,1,18828.0,0.81,1,5,Tier 2,0.407479548,1,Excellent,Medium,Adult,98929
27,34584.0,Self-Employed,722.0,0,22850.0,0.81,2,2,Tier 2,0.660710155,1,Good,Low,Young,41713
28,78682.0,Salaried,817.0,0,34311.0,1.0,1,1,Tier 1,0.436071783,0,Excellent,Medium,Young,186868
25,66227.0,Self-Employed,550.0,1,23739.0,0.49,0,0,Tier 3,0.358448971,1,Poor,Medium,Young,73891
39,35336.0,Salaried,721.0,2,21805.0,0.74,2,1,Tier 2,0.61707607,1,Good,Low,Adult,40839
45,73306.0,Salaried,677.0,2,16170.0,0.85,0,0,Tier 3,0.220582217,1,Good,Medium,Adult,101768
40,53964.0,Self-Employed,819.0,3,37652.0,0.94,0,4,Tier 2,0.697724409,0,Excellent,Medium,Adult,130929
42,95492.0,Self-Employed,673.0,2,44480.0,0.77,0,1,Tier 2,0.465798182,1,Good,High,Adult,126572
29,67543.0,Self-Employed,686.0,3,34201.0,0.62,1,0,Tier 3,0.506358912,1,Good,Medium,Young,76918
50,71441.0,Self-Employed,813.0,0,18064.0,0.92,0,1,Tier 1,0.252852004,0,Excellent,Medium,Senior,171674
27,37797.0,Self-Employed,767.0,2,24193.0,0.79,2,0,Tier 3,0.640077255,1,Excellent,Low,Young,75205
36,15403.0,Salaried,702.0,2,5085.0,0.7,1,1,Tier 3,0.330130494,1,Good,Low,Adult,18498
47,81801.0,Self-Employed,729.0,0,41906.0,0.73,1,5,Tier 1,0.512292026,1,Good,High,Adult,99706
36,51064.0,Salaried,654.0,0,20497.0,0.65,1,3,Tier 3,0.401398245,1,Fair,Medium,Adult,59178
33,79695.0,Self-Employed,708.0,1,26271.0,0.89,1,2,Tier 1,0.329644269,1,Good,Medium,Adult,106988
42,67114.0,Self-Employed,798.0,3,30465.0,0.88,0,0,Tier 1,0.453929136,1,Excellent,Medium,Adult,157997
26,56340.0,Salaried,685.0,2,20393.0,0.78,0,2,Tier 3,0.361963081,1,Good,Medium,Young,75051
46,69647.0,Self-Employed,717.0,0,42023.0,0.79,1,0,Tier 2,0.603371287,1,Good,Medium,Adult,88491
28,60454.0,Self-Employed,646.0,2,25279.0,0.73,0,1,Tier 2,0.418152645,1,Fair,Medium,Young,78371
45,67498.0,Self-Employed,734.0,2,16607.0,0.98,0,1,Tier 3,0.24603692,0,Good,Medium,Adult,100382
42,62397.0,Self-Employed,667.0,2,38627.0,0.9,0,2,Tier 1,0.619052198,0,Fair,Medium,Adult,88787
21,63139.0,Self-Employed,724.0,2,38651.0,0.85,0,1,Tier 2,0.612157304,1,Good,Medium,Young,87740
42,21282.0,Salaried,614.0,3,7918.0,0.41,2,0,Tier 3,0.372051499,1,Fair,Low,Adult,19313
35,92119.0,Self-Employed,707.0,0,23577.0,0.93,1,3,Tier 2,0.255940685,0,Good,High,Adult,126732
41,54271.0,Salaried,593.0,3,35789.0,0.77,1,0,Tier 1,0.659449798,1,Fair,Medium,Adult,67979
28,25510.0,Self-Employed,728.0,3,15073.0,0.74,0,1,Tier 3,0.590866327,1,Good,Low,Young,33354
29,33599.0,Salaried,744.0,0,20709.0,0.87,0,1,Tier 3,0.61635763,1,Excellent,Low,Young,47143
35,15000.0,Salaried,639.0,2,7882.0,0.64,2,0,Tier 2,0.525466667,1,Fair,Low,Adult,16187
32,50673.0,Salaried,750.0,1,16278.0,0.8,1,4,Tier 1,0.321236161,1,Excellent,Medium,Adult,64509
32,54331.0,Salaried,593.0,1,28894.0,0.77,1,4,Tier 2,0.53181425,1,Fair,Medium,Adult,68201
36,85248.0,Self-Employed,827.0,3,27393.0,0.76,1,3,Tier 3,0.321333052,1,Excellent,High,Adult,177055
34,83625.0,Self-Employed,677.0,2,47434.0,0.72,1,3,Tier 1,0.56722272,1,Good,High,Adult,101782
47,79284.0,Self-Employed,809.0,3,46954.0,0.94,0,1,Tier 1,0.592225417,0,Excellent,Medium,Adult,192634
46,92167.0,Self-Employed,856.0,0,53716.0,0.86,0,2,Tier 1,0.582811635,1,Excellent,High,Adult,214657
21,44402.0,Salaried,682.0,1,19069.0,0.71,0,2,Tier 2,0.429462637,1,Good,Medium,Young,57000
23,39836.0,Salaried,686.0,0,10001.0,0.79,0,2,Tier 1,0.251054323,1,Good,Low,Young,53603
30,48297.0,Self-Employed,778.0,0,12831.0,0.68,0,2,Tier 2,0.265668675,1,Excellent,Medium,Adult,101409
40,45337.0,Self-Employed,619.0,1,20738.0,0.73,2,1,Tier 2,0.457418885,1,Fair,Medium,Adult,52081
37,21133.0,Self-Employed,821.0,0,6529.0,0.91,0,0,Tier 3,0.308948091,0,Excellent,Low,Adult,50444
45,61490.0,Salaried,545.0,2,36538.0,0.63,0,0,Tier 2,0.594210441,1,Poor,Medium,Adult,75207
21,88927.0,Self-Employed,833.0,1,22258.0,0.94,1,2,Tier 3,0.250295186,0,Excellent,High,Young,204875
37,15000.0,Salaried,776.0,1,9982.0,0.85,1,2,Tier 1,0.665466667,1,Excellent,Low,Adult,32863
27,77585.0,Self-Employed,847.0,3,28229.0,0.87,0,0,Tier 3,0.363846104,1,Excellent,Medium,Young,181811
39,63193.0,Salaried,686.0,1,14846.0,0.67,0,0,Tier 2,0.234931084,1,Good,Medium,Adult,78995
28,68858.0,Salaried,778.0,3,22308.0,0.81,1,5,Tier 2,0.323971071,1,Excellent,Medium,Young,146934
36,120012.0,Self-Employed,729.0,1,64727.125,0.85,0,1,Tier 1,0.539338774,1,Good,High,Adult,166610
27,69836.0,Salaried,747.0,0,25130.0,0.9,0,0,Tier 3,0.359843061,0,Excellent,Medium,Young,99591
35,54591.0,Salaried,716.0,0,25561.0,0.63,1,0,Tier 1,0.468227363,1,Good,Medium,Adult,62451
35,27208.0,Self-Employed,716.0,3,17075.0,0.88,0,0,Tier 3,0.627572773,1,Good,Low,Adult,38310
33,49236.0,Self-Employed,823.0,2,28020.0,0.84,1,1,Tier 1,0.569095784,1,Excellent,Medium,Adult,107386
21,62832.0,Self-Employed,690.0,2,17027.0,0.7,2,2,Tier 1,0.270992488,1,Good,Medium,Young,70704
39,61695.0,Salaried,700.0,1,26887.0,0.69,1,0,Tier 1,0.435805171,1,Good,Medium,Adult,73554
24,33510.0,Self-Employed,703.0,2,9793.0,0.73,0,1,Tier 2,0.292241122,1,Good,Low,Young,43563
37,52771.0,Self-Employed,686.0,0,27159.0,0.61,2,1,Tier 2,0.514657672,1,Good,Medium,Adult,55762
22,66308.0,Salaried,747.0,2,15237.0,0.96,0,1,Tier 1,0.229791277,0,Excellent,Medium,Young,97484
42,71507.0,Self-Employed,685.0,1,31674.0,0.76,2,0,Tier 2,0.442949641,1,Good,Medium,Adult,83816
29,21966.0,Self-Employed,699.0,1,14473.0,0.53,0,2,Tier 1,0.658881908,1,Good,Low,Young,25220
32,115077.0,Self-Employed,630.0,1,43633.0,0.7,0,0,Tier 2,0.379163517,1,Fair,High,Adult,146325
28,23130.0,Self-Employed,646.0,2,13332.0,0.81,2,1,Tier 1,0.576394293,1,Fair,Low,Young,27944
40,15000.0,Salaried,504.5,2,3898.0,0.46,4,1,Tier 1,0.259866667,1,Poor,Low,Adult,11922
32,96420.0,Salaried,768.0,0,42542.0,0.87,1,2,Tier 1,0.441215515,1,Excellent,High,Adult,213490
34,69842.0,Self-Employed,752.0,3,27610.0,0.95,0,0,Tier 1,0.395320867,0,Excellent,Medium,Adult,170482
23,36231.0,Self-Employed,679.0,1,12048.0,0.74,2,1,Tier 1,0.332532914,1,Good,Low,Young,41780
43,19229.0,Salaried,738.0,3,5161.0,0.69,2,1,Tier 1,0.268396692,1,Good,Low,Adult,21500
43,15000.0,Salaried,606.0,3,5305.0,0.69,0,2,Tier 3,0.353666667,1,Fair,Low,Adult,19064
39,55298.0,Self-Employed,711.0,3,21133.0,0.83,0,1,Tier 2,0.38216572,1,Good,Medium,Adult,76069
35,72369.0,Salaried,763.0,0,40349.0,0.79,1,3,Tier 2,0.557545358,1,Excellent,Medium,Adult,152747
26,62339.0,Salaried,693.0,0,12710.0,0.55,2,2,Tier 3,0.203885208,1,Good,Medium,Young,62929
29,60362.0,Self-Employed,649.0,0,25023.0,0.73,0,0,Tier 3,0.414548888,1,Fair,Medium,Young,78328
24,85415.0,Self-Employed,699.0,0,58403.0,0.76,0,2,Tier 3,0.683755781,1,Good,High,Young,112780
35,62603.0,Self-Employed,778.0,2,21509.0,0.55,0,4,Tier 1,0.343577784,1,Excellent,Medium,Adult,121510
41,91554.0,Self-Employed,695.0,3,19180.0,0.7,1,1,Tier 1,0.209493851,1,Good,High,Adult,109778
23,78865.0,Salaried,665.0,1,37415.0,0.8,0,2,Tier 2,0.47441831,1,Fair,Medium,Young,106343
29,42964.0,Salaried,754.0,0,20948.0,0.79,0,0,Tier 1,0.48757099,1,Excellent,Medium,Young,96249
34,108034.0,Self-Employed,741.0,1,23699.0,0.57,0,3,Tier 3,0.219366125,1,Excellent,High,Adult,127443
39,15000.0,Salaried,691.0,1,4888.0,0.85,0,0,Tier 3,0.325866667,1,Good,Low,Adult,20813
25,29650.0,Self-Employed,806.0,0,16527.0,0.8,1,0,Tier 3,0.557403035,1,Excellent,Low,Young,62840
34,69930.0,Self-Employed,580.0,2,45849.0,0.64,1,3,Tier 3,0.655641356,1,Fair,Medium,Adult,80661
27,78285.0,Salaried,671.0,1,28307.0,0.72,1,2,Tier 3,0.361589066,1,Good,Medium,Young,94903
43,78374.0,Self-Employed,712.0,3,49969.0,0.61,1,2,Tier 2,0.637571133,1,Good,Medium,Adult,88788
42,50863.0,Self-Employed,624.0,1,25491.0,0.56,1,1,Tier 3,0.501169809,1,Fair,Medium,Adult,55673
29,27079.0,Salaried,652.0,2,13636.0,0.64,2,2,Tier 3,0.503563647,1,Fair,Low,Young,29189
34,36388.0,Self-Employed,796.0,2,15407.0,0.94,0,0,Tier 1,0.423408816,0,Excellent,Low,Adult,88143
21,56614.0,Salaried,623.0,0,18520.0,0.68,1,0,Tier 2,0.327127566,1,Fair,Medium,Young,67256
27,55890.0,Salaried,506.0,0,12665.0,0.62,0,0,Tier 1,0.226605833,1,Poor,Medium,Young,67743
41,64463.0,Self-Employed,735.0,3,31809.0,0.75,3,1,Tier 1,0.493445853,1,Good,Medium,Adult,70160
38,48509.0,Salaried,630.0,2,19778.0,0.74,0,3,Tier 1,0.407718155,1,Fair,Medium,Adult,63448
39,37998.0,Self-Employed,710.0,0,11646.0,0.59,3,2,Tier 3,0.306489815,1,Good,Low,Adult,36627
36,74334.0,Salaried,816.0,2,15891.0,0.93,0,1,Tier 3,0.213778352,0,Excellent,Medium,Adult,179449
51,54321.0,Salaried,637.0,3,19185.0,0.76,1,3,Tier 2,0.353178329,1,Fair,Medium,Senior,67466
45,32802.0,Salaried,652.0,3,16666.0,0.7,2,1,Tier 3,0.508078776,1,Fair,Low,Adult,37008
41,39748.0,Self-Employed,575.0,1,13086.0,0.67,1,1,Tier 1,0.329224112,1,Poor,Low,Adult,46857
36,15000.0,Salaried,760.0,2,3225.0,0.89,0,1,Tier 2,0.215,1,Excellent,Low,Adult,35467
39,40036.0,Self-Employed,737.0,2,17362.0,0.81,1,3,Tier 3,0.433659706,1,Good,Medium,Adult,51286
29,123419.0,Self-Employed,866.0,1,64727.125,0.98,0,3,Tier 1,0.524450247,0,Excellent,High,Young,306122
33,36626.0,Salaried,795.0,2,8775.0,0.68,0,2,Tier 2,0.239583902,1,Excellent,Low,Adult,77133
29,74465.0,Self-Employed,808.0,2,39711.0,0.85,2,1,Tier 3,0.533284093,1,Excellent,Medium,Young,153509
44,15000.0,Salaried,686.0,3,6035.0,0.8,2,1,Tier 2,0.402333333,1,Good,Low,Adult,17969
23,105224.0,Self-Employed,793.0,0,64727.125,0.72,2,1,Tier 2,0.615136518,1,Excellent,High,Young,199724
42,37884.0,Salaried,703.0,1,20329.0,0.73,1,2,Tier 3,0.536611762,1,Good,Low,Adult,46228
31,44667.0,Salaried,684.0,3,28328.0,0.77,2,3,Tier 2,0.634204222,1,Good,Medium,Adult,52525
39,97941.0,Self-Employed,674.0,1,57431.0,0.78,0,1,Tier 3,0.586383639,1,Good,High,Adult,131084
22,26444.0,Salaried,665.0,0,10890.0,0.82,1,0,Tier 2,0.411813644,1,Fair,Low,Young,34118
40,38580.0,Self-Employed,770.0,3,19644.0,0.86,1,1,Tier 3,0.509175739,1,Excellent,Low,Adult,85115
34,27239.0,Salaried,593.0,3,14606.0,0.57,1,0,Tier 1,0.536216454,1,Fair,Low,Adult,30037
41,108525.0,Self-Employed,739.0,1,31459.0,0.77,0,1,Tier 2,0.289877908,1,Good,High,Adult,144311
36,57502.0,Salaried,872.0,3,39432.0,0.92,0,3,Tier 1,0.685750061,0,Excellent,Medium,Adult,138033
25,18107.0,Self-Employed,735.0,1,12599.0,0.8,1,1,Tier 3,0.695808251,1,Good,Low,Young,23022
21,73563.0,Salaried,620.0,2,45622.0,0.63,0,1,Tier 2,0.620175904,1,Fair,Medium,Young,89674
36,48895.0,Salaried,844.0,1,12717.0,0.8,2,4,Tier 3,0.260087944,1,Excellent,Medium,Adult,97690
37,64343.0,Salaried,674.0,1,38704.0,0.74,0,2,Tier 3,0.601526196,1,Good,Medium,Adult,84081
29,97417.0,Self-Employed,606.0,1,22878.0,0.58,0,0,Tier 1,0.234846074,1,Fair,High,Young,115138
39,57286.0,Self-Employed,678.0,2,13162.0,0.73,0,4,Tier 1,0.229759453,1,Good,Medium,Adult,74402
25,18582.0,Salaried,828.0,0,10891.0,0.88,0,2,Tier 1,0.586104833,1,Excellent,Low,Young,43677
45,74161.0,Self-Employed,772.0,3,21757.0,0.88,1,0,Tier 1,0.293375224,1,Excellent,Medium,Adult,164802
21,127075.0,Self-Employed,674.0,2,64727.125,0.47,2,1,Tier 2,0.509361597,1,Good,High,Young,121317
38,38891.0,Self-Employed,754.0,3,23636.0,0.75,0,1,Tier 3,0.607749865,1,Excellent,Low,Adult,85020
27,59176.0,Self-Employed,821.0,1,33920.0,1.0,2,1,Tier 2,0.573205354,0,Excellent,Medium,Young,133145
41,130640.625,Self-Employed,649.0,3,54017.0,0.64,2,0,Tier 1,0.413477814,1,Fair,High,Adult,144764
40,111503.0,Self-Employed,757.0,3,63355.0,1.0,3,2,Tier 2,0.56819099,0,Excellent,High,Adult,236943
35,107301.0,Self-Employed,831.0,3,64727.125,0.93,0,1,Tier 2,0.603229467,0,Excellent,High,Adult,258196
31,58989.0,Salaried,722.0,0,23577.0,0.75,0,0,Tier 2,0.399684687,1,Good,Medium,Adult,77209
27,15622.0,Salaried,755.0,1,5185.0,0.68,1,0,Tier 1,0.331903726,1,Excellent,Low,Young,30761
39,25115.0,Self-Employed,646.0,3,10791.0,0.92,1,1,Tier 2,0.429663548,0,Fair,Low,Adult,34266
41,60547.0,Self-Employed,758.0,2,39489.0,0.83,0,2,Tier 1,0.652204073,1,Excellent,Medium,Adult,138389
35,29796.0,Salaried,683.0,2,15994.0,0.71,0,1,Tier 1,0.536783461,1,Good,Low,Adult,38281
21,28095.0,Salaried,618.0,0,7945.0,0.78,1,2,Tier 2,0.282790532,1,Fair,Low,Young,35385
36,71790.0,Self-Employed,578.0,0,25685.0,0.64,3,1,Tier 2,0.357779635,1,Poor,Medium,Adult,72132
43,98931.0,Self-Employed,524.0,0,64727.125,0.83,3,3,Tier 1,0.654265347,1,Poor,High,Adult,113563
32,38520.0,Salaried,793.0,0,25319.0,0.93,0,2,Tier 1,0.657294912,0,Excellent,Low,Adult,92791
33,60216.0,Salaried,592.0,1,33011.0,0.63,1,1,Tier 1,0.548209778,1,Fair,Medium,Adult,69238
45,38437.0,Salaried,712.0,0,17364.0,0.73,1,3,Tier 2,0.451752218,1,Good,Low,Adult,46855
22,44540.0,Salaried,695.0,2,28119.0,0.84,1,0,Tier 2,0.631320162,1,Good,Medium,Young,58088
45,83255.0,Self-Employed,850.0,2,53561.0,1.0,0,3,Tier 2,0.643336737,0,Excellent,High,Adult,208138
39,129696.0,Self-Employed,748.0,3,53724.0,0.91,0,3,Tier 3,0.4142302,0,Excellent,High,Adult,185655
27,89520.0,Self-Employed,754.0,1,60007.0,0.77,0,2,Tier 2,0.670319482,1,Excellent,High,Young,198570
33,123805.0,Self-Employed,852.0,0,64727.125,0.9,1,1,Tier 1,0.522815112,0,Excellent,High,Adult,279061
44,90819.0,Salaried,799.0,3,27556.0,0.93,0,3,Tier 2,0.303416686,0,Excellent,High,Adult,218908
41,92696.0,Self-Employed,661.0,2,29664.0,0.64,2,1,Tier 1,0.320013809,1,Fair,High,Adult,100278
43,70721.0,Salaried,631.0,0,16994.0,0.61,0,0,Tier 2,0.240296376,1,Fair,Medium,Adult,85359
35,43962.0,Salaried,717.0,3,15807.0,0.71,2,3,Tier 1,0.35956053,1,Good,Medium,Adult,49903
26,64718.0,Salaried,797.0,0,27251.0,0.96,0,1,Tier 2,0.421072963,0,Excellent,Medium,Young,158524
48,49318.0,Salaried,801.0,0,27539.0,0.94,1,0,Tier 3,0.558396529,0,Excellent,Medium,Adult,113348
43,55473.0,Salaried,807.0,3,35328.0,0.96,0,0,Tier 2,0.63685036,0,Excellent,Medium,Adult,135990
44,69899.0,Salaried,710.0,0,32812.0,0.69,2,2,Tier 3,0.469420163,1,Good,Medium,Adult,78101
21,73433.0,Salaried,690.0,3,20954.0,0.78,2,1,Tier 2,0.285348549,1,Good,Medium,Young,87062
26,65153.0,Self-Employed,656.0,0,35836.0,0.72,2,2,Tier 2,0.550028395,1,Fair,Medium,Young,74317
37,66567.0,Salaried,735.0,3,33295.0,0.6,1,2,Tier 2,0.500172758,1,Good,Medium,Adult,74723
50,73908.0,Salaried,809.0,2,47098.0,0.97,0,1,Tier 3,0.637251718,0,Excellent,Medium,Senior,182071
44,49341.0,Salaried,722.0,1,30939.0,0.93,1,1,Tier 3,0.627044446,0,Good,Medium,Adult,67638
35,31137.0,Salaried,673.0,0,19283.0,0.77,0,0,Tier 2,0.619295372,1,Good,Low,Adult,41261
22,130640.625,Self-Employed,689.0,2,28842.0,0.72,1,2,Tier 1,0.220773592,1,Good,High,Young,163767
29,43459.0,Self-Employed,606.0,2,20955.0,0.69,0,1,Tier 3,0.482178605,1,Fair,Medium,Young,55114
49,80736.0,Self-Employed,711.0,3,33920.0,0.78,1,2,Tier 3,0.42013476,1,Good,High,Adult,101907
30,130640.625,Self-Employed,759.0,3,64727.125,0.86,1,0,Tier 2,0.495459395,1,Excellent,High,Adult,333523
33,54629.0,Self-Employed,775.0,3,30510.0,0.8,0,3,Tier 2,0.558494572,1,Excellent,Medium,Adult,122744
