age,monthly_income,employment_type,credit_score,existing_credit_cards,avg_monthly_spend,repayment_ratio,missed_payments_last_6m,loan_accounts,location_tier,recommended_credit_limit,spend_to_income_ratio,missed_payment_flag,credit_category,income_category,age_bucket
36,113741.0,Salaried,726.0,0,61645.0,0.86,2,3,Tier 2,141900,0.5419769476266254,1,Good,High,Adult
30,90605.0,Self-Employed,725.0,1,35613.0,0.83,0,2,Tier 1,124604,0.3930577782683075,1,Good,High,Adult
33,49432.0,Salaried,582.0,0,27012.0,0.7,0,2,Tier 1,63010,0.5464476452500404,1,Fair,Medium,Adult
25,64946.0,Salaried,768.0,0,45154.0,0.67,1,4,Tier 1,127826,0.695254519138977,1,Excellent,Medium,Young
28,88986.0,Self-Employed,539.0,0,39891.0,0.44,0,0,Tier 3,96397,0.44828399973029465,1,Poor,High,Young
43,56483.0,Salaried,709.0,2,38143.0,0.98,0,1,Tier 2,83835,0.6753005329037055,0,Good,Medium,Adult
38,59722.0,Self-Employed,739.0,0,39743.0,1.0,1,4,Tier 3,85104,0.6654666622015337,0,Good,Medium,Adult
23,61182.0,Salaried,789.0,0,14725.0,0.73,4,0,Tier 2,101857,0.24067536203458534,1,Excellent,Medium,Young
21,114348.0,Self-Employed,649.0,3,37090.0,0.65,0,2,Tier 3,141391,0.32436072340574384,1,Fair,High,Young
35,79682.0,Self-Employed,653.0,1,45659.0,0.77,1,1,Tier 3,100089,0.5730152355613564,1,Fair,Medium,Adult
26,15000.0,Self-Employed,767.0,0,3326.0,0.94,0,0,Tier 1,36310,0.22173333333333334,0,Excellent,Low,Young
36,57042.0,Self-Employed,868.0,3,29307.0,1.0,0,3,Tier 1,142604,0.5137793205006838,0,Excellent,Medium,Adult
30,30255.0,Salaried,680.0,2,15836.0,0.62,0,1,Tier 2,36767,0.5234176169228226,1,Good,Low,Adult
42,80253.0,Self-Employed,870.0,3,28471.0,1.0,0,5,Tier 1,200631,0.35476555393567843,0,Excellent,High,Adult
31,52841.0,Salaried,802.0,2,14923.0,1.0,0,3,Tier 1,132102,0.2824132775685547,0,Excellent,Medium,Adult
30,78269.0,Self-Employed,742.0,1,33996.0,0.67,0,8,Tier 3,97738,0.4343482093804699,1,Excellent,Medium,Adult
32,36869.0,Salaried,657.0,1,12438.0,0.76,1,1,Tier 3,45994,0.337356586834468,1,Fair,Low,Adult
44,81023.0,Salaried,729.0,2,37277.0,0.83,2,0,Tier 3,98868,0.46007923675993234,1,Good,High,Adult
35,77936.0,Salaried,688.0,1,40502.0,0.78,2,0,Tier 1,92631,0.5196828166700883,1,Good,Medium,Adult
23,76004.0,Self-Employed,546.0,3,44981.0,0.77,2,2,Tier 1,89467,0.5918241145202884,1,Poor,Medium,Young
24,52561.0,Salaried,681.0,2,19642.0,0.79,0,2,Tier 3,70729,0.37369913053404613,1,Good,Medium,Young
32,80998.0,Self-Employed,644.0,1,23566.0,0.79,1,0,Tier 2,102682,0.29094545544334427,1,Fair,High,Adult
34,88483.0,Self-Employed,677.0,1,32964.0,0.73,1,2,Tier 3,108080,0.37254613880632437,1,Good,High,Adult
36,66942.0,Self-Employed,723.0,0,40145.0,0.73,2,2,Tier 3,76984,0.5996982462430164,1,Good,Medium,Adult
28,70713.0,Self-Employed,745.0,2,46813.0,0.9,0,1,Tier 2,101012,0.6620140568212352,0,Excellent,Medium,Young
43,67028.0,Salaried,640.0,0,43408.0,1.0,0,2,Tier 2,100542,0.6476099540490541,0,Fair,Medium,Adult
36,34578.0,Salaried,766.0,0,16666.0,0.7,0,1,Tier 2,73265,0.4819827636069177,1,Excellent,Low,Adult
39,43781.0,Self-Employed,719.0,0,20514.0,0.95,0,0,Tier 3,64068,0.4685594207532948,0,Good,Medium,Adult
21,64229.0,Salaried,696.0,0,32357.0,0.77,0,1,Tier 1,85370,0.5037755530990674,1,Good,Medium,Young
28,40838.0,Salaried,669.0,2,11448.0,0.68,0,1,Tier 3,51581,0.2803271462853225,1,Fair,Medium,Young
38,65950.0,Salaried,731.0,1,13365.0,0.81,3,2,Tier 1,74754,0.2026535253980288,1,Good,Medium,Adult
32,47102.0,Self-Employed,575.0,3,21375.0,0.59,1,1,Tier 2,52743,0.4538023863105601,1,Poor,Medium,Adult
21,96458.0,Self-Employed,585.0,3,37099.0,0.86,0,0,Tier 3,134320,0.38461299218312633,1,Fair,High,Young
46,51941.0,Self-Employed,780.0,0,28087.0,0.92,0,1,Tier 3,124635,0.5407481565622533,0,Excellent,Medium,Adult
25,59030.0,Salaried,771.0,2,23864.0,0.81,2,5,Tier 3,118490,0.404269015754701,1,Excellent,Medium,Young
42,55795.0,Salaried,886.0,1,21170.0,0.96,1,1,Tier 1,129544,0.3794246796307913,0,Excellent,Medium,Adult
22,15000.0,Salaried,840.0,1,7331.0,0.81,1,1,Tier 2,32105,0.48873333333333335,1,Excellent,Low,Young
31,53304.0,Salaried,765.0,0,19587.0,0.88,0,3,Tier 3,125520,0.3674583520936515,1,Excellent,Medium,Adult
27,99102.0,Self-Employed,777.0,0,26913.0,0.93,0,1,Tier 2,238985,0.27156868680753166,0,Excellent,High,Young
30,44603.0,Salaried,641.0,0,26701.0,0.67,2,2,Tier 2,49156,0.5986368629912786,1,Fair,Medium,Adult
22,26444.0,Salaried,665.0,0,10890.0,0.82,1,0,Tier 2,34118,0.4118136439267887,1,Fair,Low,Young
38,73282.0,Self-Employed,778.0,0,40182.0,0.89,0,2,Tier 2,172773,0.5483201877678011,1,Excellent,Medium,Adult
42,51177.0,Self-Employed,680.0,2,15003.0,0.71,0,1,Tier 1,65566,0.2931590362858315,1,Good,Medium,Adult
21,65260.0,Self-Employed,685.0,2,39249.0,0.85,1,2,Tier 1,85474,0.6014250689549494,1,Good,Medium,Young
42,84151.0,Self-Employed,597.0,0,23794.0,0.59,0,0,Tier 3,100444,0.2827536214661739,1,Fair,High,Adult
36,44622.0,Salaried,631.0,2,10829.0,0.7,1,1,Tier 3,53586,0.24268298148895165,1,Fair,Medium,Adult
31,56559.0,Self-Employed,550.0,0,28986.0,0.72,1,2,Tier 2,68707,0.5124913806821195,1,Poor,Medium,Adult
32,107383.0,Self-Employed,554.0,3,29812.0,0.64,1,1,Tier 3,124392,0.2776230874533213,1,Poor,High,Adult
23,74444.0,Salaried,546.0,2,24339.0,0.61,1,3,Tier 1,84264,0.3269437429477191,1,Poor,Medium,Young
44,66277.0,Salaried,644.0,2,41612.0,0.68,1,2,Tier 2,78511,0.6278497819756477,1,Fair,Medium,Adult
41,63777.0,Salaried,757.0,2,16671.0,0.87,0,2,Tier 3,149408,0.26139517380873983,1,Excellent,Medium,Adult
49,76315.0,Salaried,579.0,3,25492.0,0.52,1,2,Tier 2,81006,0.3340365589988862,1,Poor,Medium,Adult
34,74992.0,Self-Employed,641.0,0,51946.0,0.58,1,2,Tier 1,83173,0.6926872199701302,1,Fair,Medium,Adult
35,75126.0,Self-Employed,705.0,1,52002.0,0.65,0,0,Tier 3,93221,0.69219710885712,1,Good,Medium,Adult
29,76935.0,Salaried,730.0,1,34547.0,0.8,1,0,Tier 3,97875,0.4490413985832196,1,Good,Medium,Young
39,55121.0,Salaried,798.0,3,27575.0,0.79,2,1,Tier 2,109296,0.5002630576368353,1,Excellent,Medium,Adult
44,74416.0,Self-Employed,702.0,3,17423.0,0.76,4,1,Tier 2,75764,0.23412975704149644,1,Good,Medium,Adult
34,88227.0,Self-Employed,598.0,0,19914.0,0.92,0,1,Tier 3,127076,0.225713217042402,0,Fair,High,Adult
53,38623.0,Self-Employed,577.0,3,21338.0,0.55,0,0,Tier 1,44801,0.5524687362452425,1,Poor,Low,Senior
33,28244.0,Salaried,794.0,1,13984.0,0.81,1,2,Tier 3,60355,0.495114006514658,1,Excellent,Low,Adult
35,75691.0,Salaried,775.0,1,42542.0,0.87,1,1,Tier 1,167000,0.5620483280707086,1,Excellent,Medium,Adult
43,66370.0,Salaried,730.0,2,14400.0,0.7,4,3,Tier 1,64860,0.21696549645924362,1,Good,Medium,Adult
43,68045.0,Salaried,559.0,0,29976.0,0.63,1,3,Tier 2,78034,0.4405320008817694,1,Poor,Medium,Adult
43,67355.0,Salaried,742.0,0,34212.0,0.83,3,2,Tier 1,77425,0.5079355652883973,1,Excellent,Medium,Adult
29,21838.0,Self-Employed,765.0,1,8716.0,0.82,2,1,Tier 3,44313,0.39912079860793115,1,Excellent,Low,Young
25,29917.0,Salaried,658.0,1,6613.0,0.54,1,2,Tier 1,32259,0.22104489086472573,1,Fair,Low,Young
35,66631.0,Salaried,736.0,1,46281.0,0.81,1,1,Tier 1,85357,0.6945866038330507,1,Good,Medium,Adult
30,37245.0,Salaried,677.0,2,11555.0,0.81,0,0,Tier 2,50497,0.3102429856356558,1,Good,Low,Adult
36,72896.0,Self-Employed,600.0,0,36349.0,0.5,1,4,Tier 1,76364,0.4986419007901668,1,Fair,Medium,Adult
39,80950.0,Salaried,863.0,2,19893.0,0.92,0,5,Tier 3,194546,0.2457442865966646,0,Excellent,High,Adult
35,30688.0,Salaried,651.0,0,6216.0,0.7,2,2,Tier 2,34518,0.20255474452554745,1,Fair,Low,Adult
25,100539.0,Salaried,677.0,3,61564.0,0.88,0,2,Tier 2,142107,0.6123394901481017,1,Good,High,Young
29,37243.0,Salaried,682.0,0,10435.0,0.64,1,1,Tier 2,43040,0.28018688075611525,1,Good,Low,Young
31,58890.0,Self-Employed,653.0,0,33671.0,0.76,2,1,Tier 3,69008,0.5717609101715062,1,Fair,Medium,Adult
29,40265.0,Self-Employed,732.0,2,15637.0,0.77,0,2,Tier 3,53579,0.3883521668943251,1,Good,Medium,Young
26,75266.0,Self-Employed,752.0,1,17606.0,0.94,0,1,Tier 3,182795,0.2339170408949592,0,Excellent,Medium,Young
33,90408.0,Salaried,660.0,2,44951.0,0.67,1,1,Tier 2,106484,0.49720157508185114,1,Fair,High,Adult
21,18970.0,Self-Employed,687.0,1,13252.0,0.62,0,2,Tier 1,23027,0.6985767000527148,1,Good,Low,Young
30,48297.0,Self-Employed,778.0,0,12831.0,0.68,0,2,Tier 2,101409,0.2656686750729859,1,Excellent,Medium,Adult
34,24969.0,Salaried,835.0,3,15785.0,0.98,0,5,Tier 2,61746,0.632183908045977,0,Excellent,Low,Adult
24,85415.0,Self-Employed,699.0,0,58403.0,0.76,0,2,Tier 3,112780,0.683755780600597,1,Good,High,Young
39,49197.0,Salaried,605.0,1,11419.0,0.51,1,1,Tier 3,52139,0.23210764884037643,1,Fair,Medium,Adult
45,31260.0,Salaried,849.0,3,21486.0,1.0,1,3,Tier 3,74241,0.6873320537428023,0,Excellent,Low,Adult
35,98041.0,Salaried,718.0,0,54043.0,0.78,0,1,Tier 3,130566,0.551228567640069,1,Good,High,Adult
27,28439.0,Self-Employed,631.0,2,19587.0,0.76,1,2,Tier 3,35498,0.6887372973733253,1,Fair,Low,Young
40,71789.0,Self-Employed,668.0,3,39809.0,0.78,1,1,Tier 2,90537,0.5545278524565045,1,Fair,Medium,Adult
34,93118.0,Salaried,813.0,3,55118.0,0.85,0,2,Tier 1,214794,0.5919156339268455,1,Excellent,High,Adult
52,39053.0,Self-Employed,677.0,2,23230.0,0.75,2,3,Tier 3,45392,0.5948326633037154,1,Good,Low,Senior
37,57631.0,Self-Employed,607.0,1,17392.0,0.64,2,3,Tier 2,62274,0.30178202703406154,1,Fair,Medium,Adult
49,54489.0,Salaried,803.0,1,22848.0,0.88,2,1,Tier 3,114541,0.41931398997962893,1,Excellent,Medium,Adult
39,24456.0,Salaried,596.0,1,10587.0,0.61,1,2,Tier 3,27755,0.4328999018645731,1,Fair,Low,Adult
32,56476.0,Salaried,696.0,1,25196.0,0.83,1,1,Tier 1,73179,0.44613641192719034,1,Good,Medium,Adult
47,30248.0,Self-Employed,805.0,1,12085.0,1.0,0,1,Tier 1,75619,0.3995305474742132,0,Excellent,Low,Adult
31,15000.0,Self-Employed,740.0,0,9217.0,0.67,2,0,Tier 2,16498,0.6144666666666667,1,Excellent,Low,Adult
42,20898.0,Self-Employed,816.0,1,9754.0,0.98,0,3,Tier 2,51654,0.46674322901713083,0,Excellent,Low,Adult
34,50968.0,Salaried,664.0,1,34062.0,0.81,0,1,Tier 2,69228,0.6683016794851672,1,Fair,Medium,Adult
38,40381.0,Salaried,523.0,1,21926.0,0.59,0,1,Tier 1,48090,0.5429781332805033,1,Poor,Medium,Adult
29,103245.0,Self-Employed,636.0,0,31069.0,0.73,2,4,Tier 2,118808,0.300924984260739,1,Fair,High,Young
32,53675.0,Salaried,733.0,1,31360.0,0.83,4,1,Tier 3,57738,0.584257102934327,1,Good,Medium,Adult
46,48717.0,Salaried,746.0,1,30954.0,0.86,0,2,Tier 3,68068,0.6353839522138063,1,Excellent,Medium,Adult
31,97044.0,Self-Employed,708.0,0,62006.0,0.87,0,1,Tier 2,135788,0.6389472816454392,1,Good,High,Adult
47,37112.0,Self-Employed,604.0,1,14774.0,0.58,1,1,Tier 2,41266,0.3980922612632033,1,Fair,Low,Adult
47,26230.0,Salaried,744.0,0,13674.0,0.83,4,0,Tier 2,28071,0.521311475409836,1,Excellent,Low,Adult
39,78908.0,Salaried,574.0,2,36834.0,0.78,3,0,Tier 1,87362,0.4667967759922948,1,Poor,Medium,Adult
23,73879.0,Self-Employed,750.0,3,28816.0,0.82,0,0,Tier 2,101047,0.39004317871113575,1,Excellent,Medium,Young
46,43883.0,Self-Employed,641.0,3,15519.0,0.73,0,2,Tier 3,56944,0.3536449194448875,1,Fair,Medium,Adult
38,72743.0,Self-Employed,825.0,3,19030.0,0.95,0,2,Tier 2,177274,0.26160592771813096,0,Excellent,Medium,Adult
35,69411.0,Self-Employed,764.0,0,41854.0,0.79,2,2,Tier 3,138040,0.6029879990203282,1,Excellent,Medium,Adult
37,38218.0,Self-Employed,758.0,3,14538.0,0.86,0,1,Tier 2,88851,0.380396671725365,1,Excellent,Low,Adult
28,44101.0,Salaried,819.0,2,23540.0,0.93,0,1,Tier 2,106611,0.5337747443368631,0,Excellent,Medium,Young
27,48395.0,Salaried,807.0,2,22633.0,0.84,0,0,Tier 1,111424,0.46767228019423496,1,Excellent,Medium,Young
34,53275.0,Self-Employed,610.0,2,26490.0,0.71,0,2,Tier 1,68294,0.4972313467855467,1,Fair,Medium,Adult
32,70852.0,Salaried,678.0,0,35540.0,0.82,1,2,Tier 3,91477,0.5016089877491108,1,Good,Medium,Adult
35,37014.0,Salaried,622.0,0,8688.0,0.62,1,3,Tier 1,42063,0.2347219970821851,1,Fair,Low,Adult
24,29282.0,Self-Employed,704.0,0,6623.0,0.63,2,1,Tier 1,31455,0.22617990574414315,1,Good,Low,Young
35,60775.0,Salaried,646.0,3,18261.0,0.63,1,2,Tier 1,69569,0.300468942821884,1,Fair,Medium,Adult
41,31736.0,Salaried,697.0,3,21805.0,0.7,1,1,Tier 1,38062,0.6870746155785228,1,Good,Low,Adult
27,52671.0,Salaried,707.0,2,31129.0,0.68,0,0,Tier 1,66305,0.5910083347572668,1,Good,Medium,Young
34,51201.0,Salaried,591.0,3,31368.0,0.68,1,3,Tier 1,60519,0.6126442842913224,1,Fair,Medium,Adult
37,41228.0,Salaried,813.0,0,26344.0,0.93,1,0,Tier 3,94313,0.6389832152905792,0,Excellent,Medium,Adult
33,64245.0,Salaried,729.0,0,31325.0,0.61,1,4,Tier 1,72906,0.48758658261343296,1,Good,Medium,Adult
35,37810.0,Salaried,705.0,3,8050.0,0.83,1,1,Tier 3,49174,0.21290663845543506,1,Good,Low,Adult
21,50981.0,Salaried,701.0,1,19495.0,0.89,0,0,Tier 3,72391,0.3823973637237402,1,Good,Medium,Young
32,53091.0,Self-Employed,687.0,3,13840.0,0.7,1,4,Tier 3,63787,0.2606844851293063,1,Good,Medium,Adult
45,98516.0,Self-Employed,754.0,0,55382.0,0.79,1,2,Tier 2,208672,0.5621624913719598,1,Excellent,High,Adult
28,52705.0,Self-Employed,512.0,0,11047.0,0.66,0,1,Tier 3,65427,0.20960060715302153,1,Poor,Medium,Young
28,82487.0,Self-Employed,806.0,1,24699.0,0.76,1,1,Tier 3,170826,0.2994290009334804,1,Excellent,High,Young
31,41134.0,Salaried,649.0,0,23392.0,0.49,1,4,Tier 3,42908,0.5686779792872076,1,Fair,Medium,Adult
39,79755.0,Self-Employed,706.0,0,26042.0,0.84,1,1,Tier 3,104275,0.3265249827597016,1,Good,Medium,Adult
48,70960.0,Self-Employed,659.0,2,19520.0,0.74,1,0,Tier 1,87338,0.2750845546786922,1,Fair,Medium,Adult
30,102792.0,Self-Employed,766.0,1,25974.0,0.85,0,5,Tier 1,237978,0.2526850338547747,1,Excellent,High,Adult
28,55651.0,Salaried,663.0,0,32399.0,0.84,1,0,Tier 2,72468,0.5821818116475894,1,Fair,Medium,Young
39,32772.0,Salaried,649.0,2,7689.0,0.72,1,0,Tier 1,39778,0.23462101794214574,1,Fair,Low,Adult
39,71710.0,Self-Employed,741.0,2,35225.0,0.9,0,0,Tier 2,102075,0.4912146144191884,0,Excellent,Medium,Adult
21,54599.0,Salaried,647.0,2,13514.0,0.8,1,2,Tier 1,69814,0.24751369072693638,1,Fair,Medium,Young
37,56148.0,Salaried,785.0,2,19256.0,0.9,2,3,Tier 3,119499,0.34295077295718457,0,Excellent,Medium,Adult
37,72496.0,Salaried,656.0,1,24262.0,0.9,0,1,Tier 1,103408,0.33466674023394394,0,Fair,Medium,Adult
48,50610.0,Salaried,600.0,0,31396.0,0.7,1,1,Tier 2,60638,0.6203517091483897,1,Fair,Medium,Adult
33,53253.0,Salaried,651.0,3,34006.0,0.6,2,2,Tier 1,56076,0.6385743526186318,1,Fair,Medium,Adult
46,52584.0,Self-Employed,767.0,1,25111.0,0.92,0,2,Tier 2,126478,0.4775406967898981,0,Excellent,Medium,Adult
43,54619.0,Salaried,738.0,2,33664.0,0.9,1,2,Tier 1,73628,0.6163422984675663,0,Good,Medium,Adult
46,84539.0,Salaried,688.0,1,54367.0,0.59,1,0,Tier 3,94761,0.6430996344882244,1,Good,High,Adult
32,42120.0,Salaried,687.0,1,16589.0,0.86,0,1,Tier 1,58801,0.3938509021842355,1,Good,Medium,Adult
39,125839.0,Self-Employed,870.0,1,63139.0,1.0,0,2,Tier 2,314598,0.5017442923100152,0,Excellent,High,Adult
31,102028.0,Self-Employed,787.0,0,64727.125,0.93,0,1,Tier 3,246113,0.6344055063315952,0,Excellent,High,Adult
40,33135.0,Salaried,709.0,2,10282.0,0.94,2,2,Tier 1,43219,0.3103063226195865,0,Good,Low,Adult
23,67002.0,Salaried,790.0,2,45237.0,0.91,1,3,Tier 2,151437,0.6751589504790901,0,Excellent,Medium,Young
33,79695.0,Self-Employed,708.0,1,26271.0,0.89,1,2,Tier 1,106988,0.32964426877470354,1,Good,Medium,Adult
36,55397.0,Self-Employed,731.0,1,36117.0,0.82,0,0,Tier 2,75709,0.6519667129988989,1,Good,Medium,Adult
35,40048.0,Self-Employed,744.0,1,23055.0,0.86,0,0,Tier 3,55928,0.5756841789852177,1,Excellent,Medium,Adult
21,67727.0,Salaried,664.0,3,46556.0,0.63,1,0,Tier 3,77759,0.687406794926691,1,Fair,Medium,Young
35,15000.0,Salaried,790.0,3,5605.0,0.9,0,1,Tier 3,35671,0.37366666666666665,0,Excellent,Low,Adult
39,60849.0,Salaried,820.0,0,27214.0,0.83,0,3,Tier 1,138990,0.44723824549294156,1,Excellent,Medium,Adult
44,57197.0,Self-Employed,676.0,1,18617.0,0.77,1,2,Tier 1,71689,0.325489099078623,1,Good,Medium,Adult
44,130640.625,Self-Employed,795.0,1,42331.0,0.86,0,1,Tier 1,314312,0.32402631264202847,1,Excellent,High,Adult
35,15000.0,Salaried,639.0,2,7882.0,0.64,2,0,Tier 2,16187,0.5254666666666666,1,Fair,Low,Adult
37,15000.0,Self-Employed,717.0,2,9541.0,0.95,1,0,Tier 2,20868,0.6360666666666667,0,Good,Low,Adult
29,44164.0,Salaried,594.0,3,30583.0,0.65,2,0,Tier 1,48157,0.6924870935603659,1,Fair,Medium,Young
32,15000.0,Self-Employed,637.0,3,3701.0,0.57,0,0,Tier 2,17685,0.24673333333333333,1,Fair,Low,Adult
45,57251.0,Salaried,829.0,3,29616.0,0.88,1,0,Tier 1,127125,0.5173010078426578,1,Excellent,Medium,Adult
32,25424.0,Salaried,737.0,3,12883.0,0.9,0,2,Tier 2,36186,0.5067259282567652,0,Good,Low,Adult
26,78939.0,Self-Employed,780.0,2,21791.0,1.0,0,4,Tier 3,197348,0.27604859448434865,0,Excellent,Medium,Young
37,57350.0,Salaried,670.0,3,20733.0,0.66,1,0,Tier 3,67024,0.3615170008718396,1,Good,Medium,Adult
45,33893.0,Salaried,767.0,2,21321.0,0.87,0,1,Tier 3,79184,0.6290679491340395,1,Excellent,Low,Adult
35,23441.0,Salaried,806.0,1,7669.0,0.91,0,1,Tier 3,55935,0.3271618105029649,0,Excellent,Low,Adult
21,62832.0,Self-Employed,690.0,2,17027.0,0.7,2,2,Tier 1,70704,0.2709924879042526,1,Good,Medium,Young
26,40218.0,Salaried,743.0,2,14376.0,0.87,1,0,Tier 1,53465,0.35745188721468,1,Excellent,Medium,Young
24,73791.0,Self-Employed,875.0,0,26023.0,1.0,2,2,Tier 3,166030,0.3526581832472795,0,Excellent,Medium,Young
24,58620.0,Self-Employed,628.0,0,22847.0,0.64,0,2,Tier 1,72126,0.3897475264414875,1,Fair,Medium,Young
32,45563.0,Salaried,753.0,2,28667.0,0.89,1,0,Tier 1,101831,0.6291727937141979,1,Excellent,Medium,Adult
39,100096.0,Self-Employed,884.0,0,51461.0,1.0,0,0,Tier 2,250240,0.5141164482097187,0,Excellent,High,Adult
32,31786.0,Salaried,727.0,2,10202.0,0.81,0,1,Tier 3,43050,0.32095891272887433,1,Good,Low,Adult
24,89668.0,Self-Employed,842.0,2,20825.0,0.82,2,2,Tier 1,181101,0.232245617165544,1,Excellent,High,Young
36,47986.0,Self-Employed,722.0,2,29545.0,0.71,0,5,Tier 2,61524,0.6157004126203476,1,Good,Medium,Adult
32,27592.0,Salaried,711.0,3,10220.0,0.76,2,2,Tier 3,32180,0.37039721658451724,1,Good,Low,Adult
39,62302.0,Self-Employed,527.0,0,32778.0,0.6,2,0,Tier 3,65318,0.5261147314692948,1,Poor,Medium,Adult
22,94197.0,Self-Employed,736.0,3,30089.0,0.57,1,1,Tier 2,103682,0.3194263086934828,1,Good,High,Young
30,51649.0,Salaried,603.0,0,10472.0,0.78,1,2,Tier 3,65017,0.2027531994811129,1,Fair,Medium,Adult
42,95492.0,Self-Employed,673.0,2,44480.0,0.77,0,1,Tier 2,126572,0.4657981820466636,1,Good,High,Adult
22,58027.0,Self-Employed,667.0,2,23053.0,0.56,3,3,Tier 1,54869,0.39728057628345426,1,Fair,Medium,Young
43,42460.0,Salaried,766.0,2,22616.0,0.91,0,3,Tier 1,101368,0.5326424870466321,0,Excellent,Medium,Adult
46,60238.0,Salaried,706.0,1,32185.0,0.68,1,5,Tier 1,71174,0.5342972874265414,1,Good,Medium,Adult
42,75642.0,Salaried,729.0,2,52619.0,0.87,0,1,Tier 2,105853,0.695632056265038,1,Good,Medium,Adult
38,15000.0,Salaried,778.0,0,8469.0,0.96,0,2,Tier 2,36776,0.5646,0,Excellent,Low,Adult
21,77871.0,Self-Employed,804.0,2,24384.0,0.8,2,1,Tier 2,155784,0.31313325885117693,1,Excellent,Medium,Young
